"",BBFN1.M.DE.N.1.A.EE.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EE.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,0.001,
1994-08,0.001,
1994-09,0.000,
1994-10,0.000,
1994-11,0.000,
1994-12,0.000,
1995-01,0.000,
1995-02,0.000,
1995-03,0.000,
1995-04,0.000,
1995-05,0.001,
1995-06,0.000,
1995-07,0.001,
1995-08,0.001,
1995-09,0.001,
1995-10,0.000,
1995-11,0.000,
1995-12,0.000,
1996-01,0.000,
1996-02,0.000,
1996-03,0.000,
1996-04,0.000,
1996-05,0.000,
1996-06,0.001,
1996-07,0.001,
1996-08,0.001,
1996-09,0.001,
1996-10,0.000,
1996-11,0.000,
1996-12,0.000,
1997-01,0.000,
1997-02,0.000,
1997-03,0.001,
1997-04,0.001,
1997-05,0.001,
1997-06,0.000,
1997-07,0.001,
1997-08,0.001,
1997-09,0.001,
1997-10,0.001,
1997-11,0.001,
1997-12,0.001,
1998-01,0.000,
1998-02,0.000,
1998-03,0.000,
1998-04,0.001,
1998-05,0.001,
1998-06,0.001,
1998-07,0.001,
1998-08,0.001,
1998-09,0.001,
1998-10,0.000,
1998-11,0.001,
1998-12,0.000,
1999-01,0.000,
1999-02,0.000,
1999-03,0.000,
1999-04,0.000,
1999-05,0.000,
1999-06,0.000,
1999-07,0.001,
1999-08,0.001,
1999-09,0.001,
1999-10,0.001,
1999-11,0.001,
1999-12,0.001,
2000-01,0.000,
2000-02,0.002,
2000-03,0.002,
2000-04,0.002,
2000-05,0.002,
2000-06,0.000,
2000-07,0.000,
2000-08,0.000,
2000-09,0.000,
2000-10,0.000,
2000-11,0.000,
2000-12,0.000,
2001-01,0.000,
2001-02,0.000,
2001-03,0.000,
2001-04,0.000,
2001-05,0.000,
2001-06,0.000,
2001-07,0.000,
2001-08,0.000,
2001-09,0.000,
2001-10,0.000,
2001-11,0.000,
2001-12,0.000,
2002-01,0.000,
2002-02,0.000,
2002-03,0.000,
2002-04,0.000,
2002-05,0.000,
2002-06,0.000,
2002-07,0.000,
2002-08,0.000,
2002-09,0.000,
2002-10,0.000,
2002-11,0.000,
2002-12,0.000,
2003-01,0.001,
2003-02,0.001,
2003-03,0.001,
2003-04,0.001,
2003-05,0.000,
2003-06,0.000,
2003-07,0.000,
2003-08,0.000,
2003-09,0.000,
2003-10,0.000,
2003-11,0.000,
2003-12,0.000,
2004-01,0.000,
2004-02,0.000,
2004-03,0.000,
2004-04,0.001,
2004-05,.,No value available
2004-06,.,No value available
2004-07,.,No value available
2004-08,0.001,
2004-09,0.000,
2004-10,0.001,
2004-11,0.000,
2004-12,0.000,
2005-01,.,No value available
2005-02,.,No value available
2005-03,0.001,
2005-04,0.000,
2005-05,0.000,
2005-06,.,No value available
2005-07,0.002,
2005-08,0.001,
2005-09,0.001,
2005-10,0.001,
2005-11,0.001,
2005-12,0.000,
2006-01,0.000,
2006-02,0.003,
2006-03,0.001,
2006-04,0.001,
2006-05,0.002,
2006-06,0.002,
2006-07,0.001,
2006-08,0.001,
2006-09,0.000,
2006-10,0.000,
2006-11,0.002,
2006-12,0.000,
2007-01,0.001,
2007-02,0.001,
2007-03,0.001,
2007-04,.,No value available
2007-05,.,No value available
2007-06,0.001,
2007-07,0.001,
2007-08,0.004,
2007-09,.,No value available
2007-10,0.000,
2007-11,0.002,
2007-12,.,No value available
2008-01,.,No value available
2008-02,.,No value available
2008-03,.,No value available
2008-04,0.000,
2008-05,0.001,
2008-06,0.001,
2008-07,0.000,
2008-08,0.000,
2008-09,0.001,
2008-10,0.000,
2008-11,0.000,
2008-12,0.000,
2009-01,.,No value available
2009-02,0.000,
2009-03,.,No value available
2009-04,.,No value available
2009-05,0.000,
2009-06,.,No value available
2009-07,0.000,
2009-08,0.002,
2009-09,0.000,
2009-10,0.000,
2009-11,0.000,
2009-12,0.001,
2010-01,0.000,
2010-02,0.000,
2010-03,0.001,
2010-04,0.000,
2010-05,.,No value available
2010-06,0.002,
2010-07,.,No value available
2010-08,0.001,
2010-09,0.001,
2010-10,0.001,
2010-11,0.002,
2010-12,0.002,
2011-01,0.002,
2011-02,0.005,
2011-03,0.004,
2011-04,0.003,
2011-05,0.004,
2011-06,0.005,
2011-07,0.005,
2011-08,0.005,
2011-09,0.004,
2011-10,0.007,
2011-11,0.004,
2011-12,0.006,
2012-01,0.005,
2012-02,0.006,
2012-03,0.008,
2012-04,0.007,
2012-05,0.005,
2012-06,0.005,
2012-07,0.006,
2012-08,0.005,
2012-09,0.008,
2012-10,0.007,
2012-11,0.008,
2012-12,0.011,
2013-01,0.012,
2013-02,0.005,
2013-03,0.006,
2013-04,0.007,
2013-05,0.007,
2013-06,0.006,
2013-07,0.008,
2013-08,0.008,
2013-09,0.009,
2013-10,0.009,
2013-11,0.008,
2013-12,0.007,
2014-01,0.007,
2014-02,0.005,
2014-03,0.005,
2014-04,0.007,
2014-05,0.001,
2014-06,0.004,
2014-07,0.003,
2014-08,0.005,
2014-09,0.004,
2014-10,0.002,
2014-11,0.002,
2014-12,0.002,
