"",BBSF2.M.1.S.I1251.GEF01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEF01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number / Life insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:30,
2009-01,0,
2009-02,0,
2009-03,0,
2009-04,0,
2009-05,0,
2009-06,0,
2009-07,0,
2009-08,0,
2009-09,40,
2009-10,40,
2009-11,40,
2009-12,39,
2010-01,38,
2010-02,38,
2010-03,38,
2010-04,39,
2010-05,40,
2010-06,34,
2010-07,34,
2010-08,35,
2010-09,35,
2010-10,35,
2010-11,35,
2010-12,35,
2011-01,35,
2011-02,35,
2011-03,35,
2011-04,35,
2011-05,35,
2011-06,35,
2011-07,35,
2011-08,35,
2011-09,38,
2011-10,41,
2011-11,40,
2011-12,38,
2012-01,38,
2012-02,38,
2012-03,38,
2012-04,38,
2012-05,37,
2012-06,37,
2012-07,37,
2012-08,36,
2012-09,36,
2012-10,36,
2012-11,34,
2012-12,34,
2013-01,34,
2013-02,34,
2013-03,34,
2013-04,33,
2013-05,32,
2013-06,31,
2013-07,31,
2013-08,31,
2013-09,31,
2013-10,31,
2013-11,30,
2013-12,30,
2014-01,30,
2014-02,30,
2014-03,30,
2014-04,30,
2014-05,29,
2014-06,28,
2014-07,28,
2014-08,20,
2014-09,20,
2014-10,20,
2014-11,20,
