"",BBK01.CELC201,BBK01.CELC201_FLAGS
"",Financial derivatives debtor: Domestic financial sectors                                    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:04,
1999-01,11.3,
1999-04,11.3,
1999-07,-0.4,
1999-10,-0.4,
2000-01,0.4,
2000-04,0.4,
2000-07,13.4,
2000-10,13.4,
2001-01,8.9,
2001-04,8.9,
2001-07,16.3,
2001-10,16.3,
2002-01,8.7,
2002-04,1.0,
2002-07,23.5,
2002-10,6.5,
2003-01,20.4,
2003-04,7.1,
2003-07,-8.9,
2003-10,-13.6,
2004-01,38.2,
2004-04,-21.7,
2004-07,-0.2,
2004-10,-146.6,
2005-01,21.0,
2005-04,-22.2,
2005-07,163.9,
2005-10,114.8,
2006-01,151.1,
2006-04,123.6,
2006-07,81.3,
2006-10,100.0,
2007-01,40.7,
2007-04,31.9,
2007-07,-25.6,
2007-10,-11.8,
2008-01,39.6,
2008-04,-241.6,
2008-07,-180.9,
2008-10,-318.4,
2009-01,368.0,
2009-04,-385.1,
2009-07,39.9,
2009-10,-6.5,
2010-01,-23.3,
2010-04,149.5,
2010-07,0.1,
2010-10,-237.4,
2011-01,-108.4,
2011-04,52.7,
2011-07,271.3,
2011-10,-302.8,
2012-01,-97.7,
2012-04,106.3,
2012-07,-4.3,
2012-10,-107.0,
2013-01,45.2,
2013-04,-49.7,
2013-07,8.5,
2013-10,-2.6,
2014-01,-16.4,
2014-04,42.5,
2014-07,88.4,
