"",BBSF2.M.1.P.00000.GEL01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEL01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
2003-06,12759,
2003-07,12441,
2003-08,12437,
2003-09,12445,
2003-10,12136,
2003-11,11801,
2003-12,11522,
2004-01,11039,
2004-02,10900,
2004-03,10601,
2004-04,10537,
2004-05,10502,
2004-06,10150,
2004-07,10062,
2004-08,9985,
2004-09,9129,
2004-10,9165,
2004-11,9120,
2004-12,8001,
2005-01,7719,
2005-02,7823,
2005-03,8174,
2005-04,7987,
2005-05,7866,
2005-06,7667,
2005-07,7587,
2005-08,7635,
2005-09,7166,
2005-10,7223,
2005-11,7351,
2005-12,7205,
2006-01,7171,
2006-02,7246,
2006-03,7313,
2006-04,7311,
2006-05,7086,
2006-06,7285,
2006-07,7240,
2006-08,7131,
2006-09,7194,
2006-10,6849,
2006-11,6361,
2006-12,6475,
2007-01,6271,
2007-02,5917,
2007-03,5654,
2007-04,5190,
2007-05,4917,
2007-06,4855,
2007-07,4870,
2007-08,4652,
2007-09,4528,
2007-10,4477,
2007-11,4176,
2007-12,3876,
2008-01,3949,
2008-02,4083,
2008-03,4025,
2008-04,3856,
2008-05,3522,
2008-06,3519,
2008-07,3584,
2008-08,3444,
2008-09,3023,
2008-10,2586,
2008-11,2554,
2008-12,2595,
2009-01,2586,
2009-02,2630,
2009-03,2724,
2009-04,2546,
2009-05,2782,
2009-06,2769,
2009-07,2880,
2009-08,2974,
2009-09,2856,
2009-10,2864,
2009-11,2841,
2009-12,2715,
2010-01,2902,
2010-02,2907,
2010-03,2886,
2010-04,2679,
2010-05,2793,
2010-06,2639,
2010-07,2595,
2010-08,2544,
2010-09,2603,
2010-10,2457,
2010-11,2535,
2010-12,2500,
2011-01,2501,
2011-02,2395,
2011-03,2373,
2011-04,2424,
2011-05,2418,
2011-06,2417,
2011-07,2077,
2011-08,2306,
2011-09,2346,
2011-10,2412,
2011-11,2274,
2011-12,2317,
2012-01,2180,
2012-02,2059,
2012-03,1993,
2012-04,2080,
2012-05,2135,
2012-06,2038,
2012-07,2072,
2012-08,2002,
2012-09,1924,
2012-10,1918,
2012-11,1793,
2012-12,1726,
2013-01,1584,
2013-02,1489,
2013-03,1380,
2013-04,1326,
2013-05,1296,
2013-06,1550,
2013-07,1574,
2013-08,1584,
2013-09,1479,
2013-10,1393,
2013-11,1281,
2013-12,1230,
2014-01,1302,
2014-02,1181,
2014-03,1005,
2014-04,954,
2014-05,917,
2014-06,877,
2014-07,772,
2014-08,563,
2014-09,549,
2014-10,501,
2014-11,485,
