"",BBK01.CEBK0B,BBK01.CEBK0B_FLAGS
"",Other equity debtor: All sectors                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:42,
1991-01,7.3,
1991-04,7.5,
1991-07,7.6,
1991-10,8.2,
1992-01,9.0,
1992-04,9.0,
1992-07,9.7,
1992-10,9.8,
1993-01,10.4,
1993-04,10.5,
1993-07,11.1,
1993-10,11.4,
1994-01,11.8,
1994-04,12.4,
1994-07,12.9,
1994-10,12.0,
1995-01,13.1,
1995-04,13.3,
1995-07,13.5,
1995-10,14.2,
1996-01,15.1,
1996-04,15.7,
1996-07,16.0,
1996-10,16.0,
1997-01,17.2,
1997-04,17.7,
1997-07,18.6,
1997-10,17.0,
1998-01,17.9,
1998-04,18.7,
1998-07,19.6,
1998-10,18.2,
1999-01,50.6,
1999-04,50.7,
1999-07,51.8,
1999-10,55.0,
2000-01,56.0,
2000-04,57.4,
2000-07,61.3,
2000-10,61.2,
2001-01,62.0,
2001-04,63.8,
2001-07,62.1,
2001-10,78.9,
2002-01,89.8,
2002-04,94.1,
2002-07,97.7,
2002-10,99.9,
2003-01,93.1,
2003-04,95.8,
2003-07,95.8,
2003-10,95.5,
2004-01,93.3,
2004-04,92.6,
2004-07,94.4,
2004-10,90.1,
2005-01,90.0,
2005-04,89.5,
2005-07,87.9,
2005-10,106.3,
2006-01,38.6,
2006-04,40.5,
2006-07,37.9,
2006-10,38.8,
2007-01,38.5,
2007-04,38.3,
2007-07,51.3,
2007-10,58.0,
2008-01,52.1,
2008-04,48.1,
2008-07,53.7,
2008-10,61.9,
2009-01,55.2,
2009-04,48.8,
2009-07,48.9,
2009-10,46.5,
2010-01,48.2,
2010-04,44.8,
2010-07,45.7,
2010-10,49.0,
2011-01,50.0,
2011-04,47.9,
2011-07,49.6,
2011-10,49.5,
2012-01,49.3,
2012-04,47.0,
2012-07,46.3,
2012-10,49.4,
2013-01,48.2,
2013-04,46.4,
2013-07,45.6,
2013-10,41.6,
2014-01,39.6,
