"",BBAI3.Q.DE.N.V.LE.F21.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F21.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Currency / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:31,
2005-10,9,
2006-01,8,
2006-04,8,
2006-07,8,
2006-10,8,
2007-01,7,
2007-04,7,
2007-07,7,
2007-10,6,
2008-01,6,
2008-04,6,
2008-07,6,
2008-10,5,
2009-01,5,
2009-04,6,
2009-07,6,
2009-10,6,
2010-01,6,
2010-04,6,
2010-07,6,
2010-10,6,
2011-01,6,
2011-04,7,
2011-07,7,
2011-10,7,
2012-01,7,
2012-04,7,
2012-07,7,
2012-10,7,
2013-01,7,
2013-04,7,
2013-07,7,
2013-10,7,
2014-01,6,
2014-04,6,
2014-07,6,
