"",BBK01.CEHD0B,BBK01.CEHD0B_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:19,
1991-01,-0.9,
1991-04,-0.2,
1991-07,-0.1,
1991-10,0.7,
1992-01,-0.3,
1992-04,0.2,
1992-07,0.3,
1992-10,0.3,
1993-01,0.1,
1993-04,0.2,
1993-07,0.1,
1993-10,0.0,
1994-01,0.8,
1994-04,0.4,
1994-07,-0.8,
1994-10,0.1,
1995-01,-1.9,
1995-04,0.3,
1995-07,0.0,
1995-10,2.1,
1996-01,-1.9,
1996-04,0.3,
1996-07,0.1,
1996-10,2.8,
1997-01,-2.4,
1997-04,0.5,
1997-07,-0.3,
1997-10,2.4,
1998-01,-2.1,
1998-04,0.6,
1998-07,-1.2,
1998-10,2.8,
1999-01,0.6,
1999-04,0.0,
1999-07,-0.2,
1999-10,2.3,
2000-01,-0.6,
2000-04,-0.9,
2000-07,-1.6,
2000-10,3.7,
2001-01,-1.2,
2001-04,0.7,
2001-07,0.4,
2001-10,2.7,
2002-01,-1.7,
2002-04,1.0,
2002-07,2.0,
2002-10,2.5,
2003-01,2.8,
2003-04,0.3,
2003-07,-3.7,
2003-10,-0.5,
2004-01,2.9,
2004-04,-4.0,
2004-07,3.1,
2004-10,-4.7,
2005-01,3.9,
2005-04,-1.0,
2005-07,-1.7,
2005-10,-0.3,
2006-01,1.3,
2006-04,-0.4,
2006-07,-1.1,
2006-10,3.3,
2007-01,-2.3,
2007-04,0.8,
2007-07,-2.3,
2007-10,1.5,
2008-01,1.0,
2008-04,-0.5,
2008-07,-0.7,
2008-10,3.8,
2009-01,3.0,
2009-04,-3.2,
2009-07,1.0,
2009-10,0.7,
2010-01,-2.3,
2010-04,0.5,
2010-07,-1.7,
2010-10,0.2,
2011-01,1.7,
2011-04,1.9,
2011-07,1.3,
2011-10,1.1,
2012-01,-0.3,
2012-04,1.6,
2012-07,-1.8,
2012-10,2.2,
2013-01,3.0,
2013-04,-3.5,
2013-07,0.2,
2013-10,-3.1,
2014-01,7.0,
