"",BBSF2.M.1.T.00000.DAK01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DAK01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Equity funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:25,
2009-09,9,
2009-10,8,
2009-11,9,
2009-12,8,
2010-01,8,
2010-02,8,
2010-03,8,
2010-04,8,
2010-05,8,
2010-06,9,
2010-07,5,
2010-08,5,
2010-09,7,
2010-10,7,
2010-11,7,
2010-12,8,
2011-01,8,
2011-02,8,
2011-03,6,
2011-04,6,
2011-05,6,
2011-06,5,
2011-07,5,
2011-08,4,
2011-09,4,
2011-10,4,
2011-11,4,
2011-12,4,
2012-01,5,
2012-02,5,
2012-03,5,
2012-04,5,
2012-05,5,
2012-06,4,
2012-07,4,
2012-08,3,
2012-09,3,
2012-10,3,
2012-11,3,
2012-12,3,
2013-01,3,
2013-02,3,
2013-03,3,
2013-04,3,
2013-05,3,
2013-06,3,
2013-07,4,
2013-08,3,
2013-09,3,
2013-10,2,
2013-11,2,
2013-12,1,
2014-01,1,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,1,
2014-08,2,
2014-09,2,
2014-10,1,
2014-11,1,
