"",BBK01.CEB90B,BBK01.CEB90B_FLAGS
"",Other mutual funds shares\n debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:44,
1991-01,0.5,
1991-04,0.5,
1991-07,0.6,
1991-10,43.3,
1992-01,1.2,
1992-04,0.7,
1992-07,1.3,
1992-10,53.9,
1993-01,1.3,
1993-04,0.7,
1993-07,1.5,
1993-10,73.4,
1994-01,72.2,
1994-04,71.7,
1994-07,72.4,
1994-10,72.2,
1995-01,72.5,
1995-04,77.0,
1995-07,80.7,
1995-10,84.5,
1996-01,92.6,
1996-04,97.4,
1996-07,102.1,
1996-10,108.8,
1997-01,122.9,
1997-04,136.1,
1997-07,145.7,
1997-10,150.7,
1998-01,173.7,
1998-04,188.3,
1998-07,175.3,
1998-10,193.8,
1999-01,208.2,
1999-04,222.3,
1999-07,221.7,
1999-10,261.8,
2000-01,277.4,
2000-04,279.4,
2000-07,287.0,
2000-10,278.6,
2001-01,269.1,
2001-04,274.2,
2001-07,248.2,
2001-10,264.7,
2002-01,273.2,
2002-04,259.6,
2002-07,243.2,
2002-10,249.8,
2003-01,244.7,
2003-04,260.4,
2003-07,265.2,
2003-10,272.9,
2004-01,282.9,
2004-04,282.4,
2004-07,280.2,
2004-10,285.1,
2005-01,296.0,
2005-04,310.3,
2005-07,322.9,
2005-10,324.0,
2006-01,334.7,
2006-04,330.7,
2006-07,344.8,
2006-10,363.8,
2007-01,369.3,
2007-04,382.6,
2007-07,390.8,
2007-10,377.7,
2008-01,363.3,
2008-04,362.8,
2008-07,360.4,
2008-10,351.0,
2009-01,345.7,
2009-04,364.6,
2009-07,373.1,
2009-10,395.4,
2010-01,420.2,
2010-04,429.7,
2010-07,455.1,
2010-10,465.9,
2011-01,474.8,
2011-04,491.4,
2011-07,483.1,
2011-10,497.1,
2012-01,538.6,
2012-04,544.1,
2012-07,574.4,
2012-10,601.3,
2013-01,631.3,
2013-04,633.1,
2013-07,657.9,
2013-10,674.9,
2014-01,706.8,
