"",BBK01.CEHT0I,BBK01.CEHT0I_FLAGS
"",Savings deposits debtor: All sectors                         creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:50,
1991-01,-2.9,
1991-04,-1.4,
1991-07,-1.3,
1991-10,6.9,
1992-01,-0.1,
1992-04,2.5,
1992-07,1.4,
1992-10,4.8,
1993-01,8.6,
1993-04,7.4,
1993-07,9.8,
1993-10,19.6,
1994-01,10.7,
1994-04,8.9,
1994-07,10.2,
1994-10,11.4,
1995-01,8.6,
1995-04,11.5,
1995-07,13.7,
1995-10,18.9,
1996-01,21.2,
1996-04,8.2,
1996-07,7.3,
1996-10,12.1,
1997-01,11.0,
1997-04,1.5,
1997-07,3.2,
1997-10,3.4,
1998-01,6.6,
1998-04,-1.0,
1998-07,2.0,
1998-10,6.2,
1999-01,4.3,
1999-04,-1.3,
1999-07,-1.8,
1999-10,-5.5,
2000-01,-9.9,
2000-04,-12.6,
2000-07,-6.3,
2000-10,-10.8,
2001-01,-2.6,
2001-04,-2.0,
2001-07,1.4,
2001-10,5.7,
2002-01,0.3,
2002-04,-7.8,
2002-07,3.0,
2002-10,5.4,
2003-01,7.6,
2003-04,0.5,
2003-07,4.5,
2003-10,2.0,
2004-01,3.8,
2004-04,1.7,
2004-07,4.0,
2004-10,2.8,
2005-01,3.7,
2005-04,0.5,
2005-07,-1.3,
2005-10,-3.9,
2006-01,1.2,
2006-04,-2.1,
2006-07,-5.1,
2006-10,-10.0,
2007-01,-4.7,
2007-04,-7.9,
2007-07,-7.7,
2007-10,-9.6,
2008-01,-7.8,
2008-04,-6.6,
2008-07,-10.5,
2008-10,5.0,
2009-01,15.1,
2009-04,14.3,
2009-07,17.3,
2009-10,9.5,
2010-01,11.8,
2010-04,1.4,
2010-07,3.7,
2010-10,6.0,
2011-01,7.4,
2011-04,-4.1,
2011-07,-1.8,
2011-10,-3.3,
2012-01,5.4,
2012-04,-1.8,
2012-07,-0.7,
2012-10,-3.0,
2013-01,-2.1,
2013-04,-4.0,
2013-07,-2.3,
2013-10,-0.3,
2014-01,-0.5,
