"",BBFN1.M.DE.N.1.A.FR.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1983-09,0.055,
1983-10,0.055,
1983-11,0.057,
1983-12,0.057,
1984-01,0.053,
1984-02,0.052,
1984-03,0.052,
1984-04,0.051,
1984-05,0.051,
1984-06,0.051,
1984-07,0.051,
1984-08,0.051,
1984-09,0.051,
1984-10,0.050,
1984-11,0.058,
1984-12,0.058,
1985-01,0.058,
1985-02,0.058,
1985-03,0.048,
1985-04,0.047,
1985-05,0.047,
1985-06,0.047,
1985-07,0.046,
1985-08,0.046,
1985-09,0.048,
1985-10,0.046,
1985-11,0.046,
1985-12,0.048,
1986-01,0.047,
1986-02,0.046,
1986-03,0.046,
1986-04,0.046,
1986-05,0.044,
1986-06,0.045,
1986-07,0.045,
1986-08,0.044,
1986-09,0.041,
1986-10,0.041,
1986-11,0.041,
1986-12,0.041,
1987-01,0.041,
1987-02,0.031,
1987-03,0.027,
1987-04,0.027,
1987-05,0.022,
1987-06,0.018,
1987-07,0.018,
1987-08,0.016,
1987-09,0.017,
1987-10,0.017,
1987-11,0.017,
1987-12,0.017,
1988-01,0.016,
1988-02,0.015,
1988-03,0.015,
1988-04,0.014,
1988-05,0.015,
1988-06,0.015,
1988-07,0.015,
1988-08,0.014,
1988-09,0.013,
1988-10,0.016,
1988-11,0.016,
1988-12,0.014,
1989-01,0.014,
1989-02,0.013,
1989-03,0.014,
1989-04,0.014,
1989-05,0.014,
1989-06,0.014,
1989-07,0.014,
1989-08,0.014,
1989-09,0.014,
1989-10,0.014,
1989-11,0.014,
1989-12,0.014,
1990-01,0.014,
1990-02,0.015,
1990-03,0.012,
1990-04,0.012,
1990-05,0.080,
1990-06,0.146,
1990-07,0.145,
1990-08,0.146,
1990-09,0.147,
1990-10,0.146,
1990-11,0.145,
1990-12,0.008,
1991-01,0.008,
1991-02,0.007,
1991-03,0.010,
1991-04,0.006,
1991-05,0.006,
1991-06,0.006,
1991-07,0.005,
1991-08,0.005,
1991-09,0.005,
1991-10,0.002,
1991-11,0.003,
1991-12,0.004,
1992-01,0.004,
1992-02,0.004,
1992-03,0.004,
1992-04,0.004,
1992-05,0.003,
1992-06,0.004,
1992-07,0.004,
1992-08,0.004,
1992-09,0.004,
1992-10,0.003,
1992-11,0.004,
1992-12,0.004,
1993-01,0.004,
1993-02,0.003,
1993-03,0.004,
1993-04,0.004,
1993-05,0.004,
1993-06,0.004,
1993-07,0.004,
1993-08,0.019,
1993-09,0.019,
1993-10,0.018,
1993-11,0.019,
1993-12,0.018,
1994-01,0.016,
1994-02,0.015,
1994-03,0.015,
1994-04,0.015,
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,0.006,
1994-08,0.005,
1994-09,0.030,
1994-10,0.029,
1994-11,0.030,
1994-12,0.048,
1995-01,0.030,
1995-02,0.030,
1995-03,0.030,
1995-04,0.029,
1995-05,0.030,
1995-06,0.022,
1995-07,0.029,
1995-08,0.029,
1995-09,0.029,
1995-10,0.029,
1995-11,0.029,
1995-12,0.029,
1996-01,0.029,
1996-02,0.029,
1996-03,0.029,
1996-04,0.030,
1996-05,0.022,
1996-06,0.022,
1996-07,0.003,
1996-08,0.003,
1996-09,0.015,
1996-10,0.018,
1996-11,0.018,
1996-12,0.018,
1997-01,0.019,
1997-02,0.019,
1997-03,0.019,
1997-04,0.018,
1997-05,0.046,
1997-06,0.044,
1997-07,0.044,
1997-08,0.044,
1997-09,0.044,
1997-10,0.029,
1997-11,0.029,
1997-12,0.029,
1998-01,0.029,
1998-02,0.029,
1998-03,0.031,
1998-04,0.026,
1998-05,0.000,
1998-06,.,No value available
1998-07,0.000,
1998-08,0.000,
1998-09,0.000,
1998-10,0.001,
1998-11,0.001,
1998-12,0.001,
1999-01,0.001,
1999-02,.,No value available
1999-03,0.040,
1999-04,0.040,
1999-05,0.051,
1999-06,0.261,
1999-07,0.251,
1999-08,0.251,
1999-09,0.251,
1999-10,0.251,
1999-11,0.251,
1999-12,0.275,
2000-01,0.274,
2000-02,0.296,
2000-03,0.295,
2000-04,0.345,
2000-05,0.347,
2000-06,0.316,
2000-07,0.317,
2000-08,0.377,
2000-09,0.377,
2000-10,0.427,
2000-11,0.426,
2000-12,0.225,
2001-01,0.226,
2001-02,0.231,
2001-03,0.180,
2001-04,0.199,
2001-05,0.207,
2001-06,0.206,
2001-07,0.207,
2001-08,0.207,
2001-09,0.211,
2001-10,0.706,
2001-11,0.707,
2001-12,0.707,
2002-01,0.707,
2002-02,0.707,
2002-03,0.726,
2002-04,0.707,
2002-05,0.706,
2002-06,0.707,
2002-07,0.707,
2002-08,0.708,
2002-09,0.707,
2002-10,0.708,
2002-11,0.687,
2002-12,0.687,
2003-01,0.687,
2003-02,0.690,
2003-03,0.739,
2003-04,0.694,
2003-05,0.675,
2003-06,0.728,
2003-07,0.734,
2003-08,0.704,
2003-09,0.643,
2003-10,0.643,
2003-11,0.649,
2003-12,0.713,
2004-01,0.748,
2004-02,0.747,
2004-03,0.748,
2004-04,0.768,
2004-05,0.812,
2004-06,0.768,
2004-07,0.711,
2004-08,0.711,
2004-09,0.721,
2004-10,0.741,
2004-11,0.729,
2004-12,0.254,
2005-01,0.255,
2005-02,0.256,
2005-03,0.256,
2005-04,0.256,
2005-05,0.279,
2005-06,0.289,
2005-07,0.288,
2005-08,0.296,
2005-09,0.297,
2005-10,0.296,
2005-11,0.297,
2005-12,0.311,
2006-01,0.323,
2006-02,0.437,
2006-03,0.524,
2006-04,0.621,
2006-05,0.705,
2006-06,0.869,
2006-07,1.509,
2006-08,3.625,
2006-09,4.534,
2006-10,6.098,
2006-11,8.058,
2006-12,9.299,
2007-01,10.307,
2007-02,11.105,
2007-03,14.653,
2007-04,17.112,
2007-05,19.319,
2007-06,21.551,
2007-07,23.731,
2007-08,27.725,
2007-09,31.747,
2007-10,37.693,
2007-11,44.963,
2007-12,44.903,
2008-01,46.689,
2008-02,49.452,
2008-03,47.600,
2008-04,49.173,
2008-05,50.575,
2008-06,49.101,
2008-07,52.877,
2008-08,53.614,
2008-09,55.104,
2008-10,59.742,
2008-11,61.195,
2008-12,53.376,
2009-01,52.631,
2009-02,53.125,
2009-03,52.534,
2009-04,55.261,
2009-05,55.631,
2009-06,47.388,
2009-07,52.444,
2009-08,58.102,
2009-09,57.257,
2009-10,61.137,
2009-11,64.616,
2009-12,58.938,
2010-01,61.393,
2010-02,65.892,
2010-03,64.781,
2010-04,71.763,
2010-05,72.430,
2010-06,68.593,
2010-07,74.072,
2010-08,79.532,
2010-09,78.794,
2010-10,83.093,
2010-11,87.120,
2010-12,84.892,
2011-01,88.839,
2011-02,82.529,
2011-03,79.435,
2011-04,81.546,
2011-05,84.550,
2011-06,77.531,
2011-07,79.662,
2011-08,78.061,
2011-09,73.706,
2011-10,60.198,
2011-11,57.951,
2011-12,50.067,
2012-01,50.463,
2012-02,50.747,
2012-03,48.348,
2012-04,49.083,
2012-05,49.339,
2012-06,44.061,
2012-07,44.447,
2012-08,44.557,
2012-09,43.614,
2012-10,43.956,
2012-11,44.050,
2012-12,42.254,
2013-01,38.812,
2013-02,39.123,
2013-03,39.446,
2013-04,39.631,
2013-05,40.119,
2013-06,37.246,
2013-07,37.104,
2013-08,37.098,
2013-09,37.605,
2013-10,37.701,
2013-11,38.291,
2013-12,38.343,
2014-01,37.603,
2014-02,37.886,
2014-03,38.486,
2014-04,38.633,
2014-05,39.549,
2014-06,39.437,
2014-07,39.153,
2014-08,39.771,
2014-09,39.410,
2014-10,39.289,
2014-11,39.541,
2014-12,40.437,
