"",BBEX3.M.STD.USD.CA.AA.A01,BBEX3.M.STD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Sao Tome and Principe / USD 1 = STD ... (buying),
unit,STD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:07,
1978-01,36.7926,
1978-02,36.4730,
1978-03,36.1778,
1978-04,36.5046,
1978-05,36.8285,
1978-06,36.0711,
1978-07,35.4678,
1978-08,35.1621,
1978-09,34.8805,
1978-10,33.4203,
1978-11,35.1854,
1978-12,34.2480,
1979-01,34.6993,
1979-02,34.6751,
1979-03,34.6287,
1979-04,34.9623,
1979-05,35.3164,
1979-06,34.5805,
1979-07,34.9496,
1979-08,34.4127,
1979-09,33.9327,
1979-10,34.7129,
1979-11,34.3157,
1979-12,33.9268,
1980-01,33.9767,
1980-02,34.2128,
1980-03,35.5156,
1980-04,34.5951,
1980-05,33.9774,
1980-06,33.8103,
1980-07,33.5844,
1980-08,33.9503,
1980-09,33.9795,
1980-10,34.5262,
1980-11,34.9039,
1980-12,35.1363,
1981-01,34.9130,
1981-02,35.5695,
1981-03,35.7119,
1981-04,37.2811,
1981-05,38.2498,
1981-06,38.8358,
1981-07,38.6719,
1981-08,38.6589,
1981-09,38.1155,
1981-10,39.0923,
1981-11,38.1394,
1981-12,38.5405,
1982-01,39.1138,
1982-02,39.5606,
1982-03,40.1584,
1982-04,39.6926,
1982-05,39.6356,
1982-06,41.1832,
1982-07,40.8992,
1982-08,40.8866,
1982-09,41.5290,
1982-10,41.9425,
1982-11,41.5962,
1982-12,40.4612,
1983-01,41.0821,
1983-02,40.9338,
1983-03,41.5381,
1983-04,41.2625,
1983-05,41.4272,
1983-06,41.9153,
1983-07,42.2069,
1983-08,42.6280,
1983-09,42.3221,
1983-10,42.1458,
1983-11,42.6274,
1983-12,42.7586,
1984-01,43.1984,
1984-02,42.3411,
1984-03,41.8822,
1984-04,42.4290,comment
1984-05,42.9454,
1984-06,43.4340,
1984-07,44.1073,
1984-08,43.9209,
1984-09,44.7452,
1984-10,45.0150,
1984-11,45.0736,
1984-12,45.5043,
1985-01,45.8748,
1985-02,47.2260,
1985-03,45.2581,
1985-04,45.4860,
1985-05,44.9672,
1985-06,43.7943,
1985-07,43.5441,
1985-08,43.0892,
1985-09,42.6446,
1985-10,40.6740,
1985-11,39.9043,
1985-12,39.6783,
1986-01,39.1512,
1986-02,38.1368,
1986-03,38.1912,
1986-04,36.6383,
1986-05,37.5779,
1986-06,36.9374,
1986-07,36.2831,
1986-08,35.6514,
1986-09,35.7877,
1986-10,35.9657,
1986-11,35.9864,
1986-12,35.3538,
1987-01,34.0427,
1987-02,34.2132,
1987-03,33.7063,
1987-04,34.2557,
1987-05,33.5252,
1987-06,34.7388,
1987-07,77.6544,comment
1987-08,77.8030,
1987-09,77.9440,
1987-10,75.6150,
1987-11,73.5190,
1987-12,71.7350,
1988-01,74.0530,
1988-02,74.5650,
1988-03,73.8070,
1988-04,73.8590,
1988-05,75.2680,
1988-06,77.8360,
1988-07,98.7730,comment
1988-08,99.9280,
1988-09,100.2590,
1988-10,96.6840,
1988-11,94.7060,
1988-12,96.7030,
1989-01,99.4230,
1989-02,117.3840,comment
1989-03,120.6450,
1989-04,120.2280,
1989-05,126.3670,
1989-06,124.5810,
1989-07,121.2460,
1989-08,123.6440,
1989-09,122.3510,
1989-10,132.5530,
1989-11,144.1270,
1989-12,139.9190,
1990-01,137.3680,
1990-02,138.0370,
1990-03,139.9060,
1990-04,139.0110,
1990-05,148.7140,
1990-06,148.1820,
1990-07,144.6510,
1990-08,140.7030,
1990-09,142.1330,
1990-10,137.7080,
1990-11,136.5050,
1990-12,138.8670,
1991-01,136.3400,
1991-02,138.6050,
1991-03,149.7740,
1991-04,153.4840,
1991-05,183.9410,comment
1991-06,190.7440,
1991-07,186.3800,
1991-08,182.5520,
1991-09,263.9440,comment
1991-10,272.9630,
1991-11,274.5680,
1991-12,277.2210,
1992-01,284.5080,
1992-02,290.5850,
1992-03,297.4450,
1992-04,306.2960,
1992-05,305.6380,
1992-06,309.0060,
1992-07,317.7070,
1992-08,319.6980,
1992-09,331.3690,
1992-10,349.3360,
1992-11,364.8690,
1992-12,371.7850,
1993-01,373.3080,
1993-02,389.3640,
1993-03,392.6380,
1993-04,390.0800,
1993-05,404.5020,
1993-06,424.4330,
1993-07,444.4990,
1993-08,447.2260,
1993-09,449.2420,
1993-10,464.6680,
1993-11,478.7770,
1993-12,511.5240,
1994-01,584.9870,
1994-02,594.7410,
1994-03,602.6170,
1994-04,605.6630,
1994-05,611.4410,
1994-06,637.8160,
1994-07,735.5070,
1994-08,798.4920,
1994-09,807.9700,
1994-10,820.0860,
1994-11,940.3790,
1994-12,1210.7000,
1995-01,1598.0149,
1995-02,1235.9480,
1995-03,1190.1087,
1995-04,1172.3668,
1995-05,1245.8642,
