"",BBK01.CEFF1K,BBK01.CEFF1K_FLAGS
"",long-term loans  debtor: Non-financial corporations                        creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:18,
1999-01,8.3,
1999-04,8.5,
1999-07,8.6,
1999-10,8.2,
2000-01,8.5,
2000-04,8.6,
2000-07,8.7,
2000-10,9.4,
2001-01,9.5,
2001-04,9.8,
2001-07,9.9,
2001-10,10.0,
2002-01,10.3,
2002-04,10.4,
2002-07,10.8,
2002-10,14.5,
2003-01,15.0,
2003-04,15.7,
2003-07,16.8,
2003-10,21.5,
2004-01,23.2,
2004-04,24.5,
2004-07,25.4,
2004-10,20.6,
2005-01,22.9,
2005-04,22.2,
2005-07,24.5,
2005-10,19.0,
2006-01,18.5,
2006-04,18.3,
2006-07,17.0,
2006-10,12.8,
2007-01,13.5,
2007-04,14.5,
2007-07,15.1,
2007-10,17.8,
2008-01,15.3,
2008-04,15.0,
2008-07,15.1,
2008-10,15.4,
2009-01,17.9,
2009-04,17.3,
2009-07,14.1,
2009-10,12.8,
2010-01,15.5,
2010-04,17.0,
2010-07,18.0,
2010-10,21.1,
2011-01,20.5,
2011-04,19.9,
2011-07,19.8,
2011-10,17.0,
2012-01,17.0,
2012-04,12.0,
2012-07,13.6,
2012-10,13.3,
2013-01,18.2,
2013-04,18.8,
2013-07,21.3,
2013-10,18.1,
2014-01,18.0,
2014-04,18.7,
2014-07,17.7,
