"",BBAI3.Q.DE.N.V.LE.F2M.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:16,
2005-10,376670,
2006-01,381682,
2006-04,385757,
2006-07,391330,
2006-10,399908,
2007-01,406293,
2007-04,412685,
2007-07,413159,
2007-10,422800,
2008-01,429379,
2008-04,429689,
2008-07,425994,
2008-10,424736,
2009-01,435996,
2009-04,433472,
2009-07,432813,
2009-10,426037,
2010-01,427982,
2010-04,423229,
2010-07,417370,
2010-10,409479,
2011-01,414617,
2011-04,414942,
2011-07,415246,
2011-10,406343,
2012-01,402816,
2012-04,399908,
2012-07,396444,
2012-10,391903,
2013-01,390479,
2013-04,384609,
2013-07,376705,
2013-10,369714,
2014-01,369897,
2014-04,366463,
2014-07,360330,
