"",BBEX3.A.JOD.USD.CA.AC.A04,BBEX3.A.JOD.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Jordan / USD 1 = JOD ... (middle),
unit,JOD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:37,
1991,0.68150,
1992,0.68050,
1993,0.69242,
1994,0.69808,
1995,0.70050,
1996,0.70900,
1997,0.70900,
1998,0.70900,
1999,0.70900,
2000,0.70900,
2001,0.70900,
2002,0.70900,
2003,0.70900,
2004,0.70900,
2005,0.70900,
2006,0.70900,
2007,0.70900,
2008,0.70900,
2009,0.70900,
2010,0.70900,
2011,0.70900,
2012,0.70900,
2013,0.70900,
2014,0.70900,
"","Source: Central Bank of Jordan, Amman.",
"","Methodology: Until 1995, calculated on the basis of month-end buying and selling rates. Since October 1995, the Jordanian dinar has been pegged to the US dollar.",
