"",BBK01.CEFL0K,BBK01.CEFL0K_FLAGS
"",Investment fund shares or units  debtor: Total                                           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:24,
1999-01,208.2,
1999-04,222.3,
1999-07,221.7,
1999-10,261.8,
2000-01,277.4,
2000-04,279.4,
2000-07,287.0,
2000-10,278.6,
2001-01,269.1,
2001-04,274.2,
2001-07,248.2,
2001-10,264.7,
2002-01,273.2,
2002-04,259.6,
2002-07,243.2,
2002-10,249.8,
2003-01,244.7,
2003-04,260.4,
2003-07,265.2,
2003-10,272.9,
2004-01,277.2,
2004-04,269.2,
2004-07,264.2,
2004-10,269.6,
2005-01,278.8,
2005-04,289.6,
2005-07,294.6,
2005-10,253.6,
2006-01,258.6,
2006-04,255.0,
2006-07,259.7,
2006-10,276.2,
2007-01,277.6,
2007-04,287.2,
2007-07,295.7,
2007-10,284.0,
2008-01,272.4,
2008-04,272.9,
2008-07,273.5,
2008-10,255.9,
2009-01,248.3,
2009-04,262.5,
2009-07,265.0,
2009-10,276.9,
2010-01,296.1,
2010-04,304.0,
2010-07,320.9,
2010-10,328.3,
2011-01,331.0,
2011-04,344.6,
2011-07,340.7,
2011-10,346.9,
2012-01,375.2,
2012-04,372.0,
2012-07,389.9,
2012-10,402.3,
2013-01,438.0,
2013-04,437.6,
2013-07,453.8,
2013-10,466.2,
2014-01,489.4,
2014-04,511.4,
2014-07,528.3,
