"",BBK01.TZ5360O,BBK01.TZ5360O_FLAGS
"","Credit (from June 2010, excluding reverse repos with central counterparties) / Euro area / All maturities / German contribution / Financial transactions (flows) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:17,
1999-01,27.6,
1999-02,6.1,
1999-03,24.1,
1999-04,13.4,
1999-05,30.0,
1999-06,9.0,
1999-07,14.0,
1999-08,11.8,
1999-09,27.2,
1999-10,22.3,
1999-11,15.3,
1999-12,8.3,
2000-01,22.8,
2000-02,9.4,
2000-03,29.9,
2000-04,11.1,
2000-05,16.1,
2000-06,-14.2,
2000-07,6.6,
2000-08,16.4,
2000-09,8.2,
2000-10,7.8,
2000-11,7.2,
2000-12,4.5,
2001-01,4.4,
2001-02,11.9,
2001-03,15.5,
2001-04,-4.4,
2001-05,10.7,
2001-06,-4.1,
2001-07,8.7,
2001-08,2.4,
2001-09,-6.1,
2001-10,-3.3,
2001-11,6.9,
2001-12,15.6,
2002-01,-9.8,
2002-02,0.8,
2002-03,-10.3,
2002-04,2.3,
2002-05,9.0,
2002-06,3.5,
2002-07,9.8,
2002-08,5.1,
2002-09,10.8,
2002-10,2.6,
2002-11,0.2,
2002-12,12.3,
2003-01,2.2,
2003-02,4.9,
2003-03,-1.5,
2003-04,-19.1,
2003-05,12.3,
2003-06,4.9,
2003-07,-1.2,
2003-08,-6.7,
2003-09,16.7,
2003-10,-6.5,
2003-11,17.9,
2003-12,7.2,
2004-01,-18.0,
2004-02,20.3,
2004-03,23.2,
2004-04,-14.9,
2004-05,1.0,
2004-06,15.1,
2004-07,3.7,
2004-08,-0.2,
2004-09,4.2,
2004-10,6.7,
2004-11,-0.7,
2004-12,5.1,
2005-01,1.8,
2005-02,1.4,
2005-03,3.2,
2005-04,34.9,
2005-05,-8.5,
2005-06,-1.1,
2005-07,0.2,
2005-08,11.4,
2005-09,2.0,
2005-10,5.2,
2005-11,-2.8,
2005-12,14.6,
2006-01,16.5,
2006-02,3.7,
2006-03,12.6,
2006-04,14.3,
2006-05,11.7,
2006-06,-2.4,
2006-07,-11.3,
2006-08,4.5,
2006-09,19.8,
2006-10,-0.6,
2006-11,5.2,
2006-12,-16.3,
2007-01,12.2,
2007-02,-1.8,
2007-03,3.3,
2007-04,1.2,
2007-05,2.9,
2007-06,-0.4,
2007-07,3.7,
2007-08,3.4,
2007-09,6.6,
2007-10,1.4,
2007-11,-9.8,
2007-12,34.8,
2008-01,9.9,
2008-02,-2.0,
2008-03,36.0,
2008-04,17.2,
2008-05,5.4,
2008-06,7.0,
2008-07,8.1,
2008-08,32.2,
2008-09,-2.7,
2008-10,-13.4,
2008-11,-2.3,
2008-12,47.9,
2009-01,8.1,
2009-02,-2.4,
2009-03,1.2,
2009-04,-15.4,
2009-05,16.8,
2009-06,40.1,
2009-07,-12.3,
2009-08,-22.8,
2009-09,20.4,
2009-10,-3.9,
2009-11,-10.8,
2009-12,-2.1,
2010-01,-12.5,
2010-02,-6.0,
2010-03,-6.5,
2010-04,18.5,
2010-05,-15.4,
2010-06,37.1,
2010-07,-8.9,
2010-08,5.4,
2010-09,-3.6,
2010-10,108.0,
2010-11,13.9,
2010-12,-17.1,
2011-01,2.6,
2011-02,-7.8,
2011-03,-14.8,
2011-04,-9.9,
2011-05,-13.3,
2011-06,-5.8,
2011-07,-10.3,
2011-08,10.3,
2011-09,4.7,
2011-10,0.3,
2011-11,1.2,
2011-12,-2.4,
2012-01,8.3,
2012-02,2.7,
2012-03,8.7,
2012-04,-13.0,
2012-05,-4.4,
2012-06,29.0,
2012-07,-6.1,
2012-08,4.8,
2012-09,13.0,
2012-10,-1.4,
2012-11,0.4,
2012-12,-5.7,
2013-01,-4.0,
2013-02,-2.2,
2013-03,6.7,
2013-04,3.4,
2013-05,-3.5,
2013-06,3.8,
2013-07,3.3,
2013-08,1.9,
2013-09,-4.0,
2013-10,8.5,
2013-11,-1.4,
2013-12,3.4,
2014-01,3.5,
2014-02,3.4,
2014-03,2.6,
2014-04,0.2,
2014-05,16.1,
2014-06,5.1,
2014-07,6.2,
2014-08,-1.1,
2014-09,8.8,
2014-10,0.1,
2014-11,5.9,
2014-12,2.4,Provisional value
2015-01,9.3,
