"",BBK01.CE4AAC,BBK01.CE4AAC_FLAGS
"",Claims on insurance corporations debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:25,
1991-01,1.9,
1991-04,-0.1,
1991-07,-0.2,
1991-10,-0.2,
1992-01,3.4,
1992-04,-0.2,
1992-07,-0.4,
1992-10,-0.9,
1993-01,2.3,
1993-04,0.8,
1993-07,-0.2,
1993-10,-1.3,
1994-01,-1.0,
1994-04,2.4,
1994-07,0.2,
1994-10,0.0,
1995-01,3.0,
1995-04,-0.1,
1995-07,0.2,
1995-10,-0.5,
1996-01,4.1,
1996-04,-0.1,
1996-07,-0.8,
1996-10,-1.2,
1997-01,3.0,
1997-04,-0.2,
1997-07,-0.1,
1997-10,-0.3,
1998-01,2.3,
1998-04,-0.3,
1998-07,-0.1,
1998-10,-0.3,
1999-01,1.0,
1999-04,0.5,
1999-07,0.5,
1999-10,-0.8,
2000-01,1.1,
2000-04,0.4,
2000-07,0.4,
2000-10,-1.5,
2001-01,1.0,
2001-04,0.4,
2001-07,1.0,
2001-10,-0.8,
2002-01,1.7,
2002-04,0.4,
2002-07,0.6,
2002-10,-1.6,
2003-01,0.5,
2003-04,0.6,
2003-07,0.4,
2003-10,-0.8,
2004-01,0.7,
2004-04,0.1,
2004-07,0.4,
2004-10,0.4,
2005-01,0.9,
2005-04,0.2,
2005-07,0.7,
2005-10,-0.2,
2006-01,0.6,
2006-04,0.6,
2006-07,0.6,
2006-10,-0.2,
2007-01,-0.9,
2007-04,-0.9,
2007-07,-0.9,
2007-10,1.9,
2008-01,0.0,
2008-04,0.0,
2008-07,0.0,
2008-10,-1.0,
2009-01,0.2,
2009-04,0.2,
2009-07,0.2,
2009-10,0.2,
2010-01,-0.2,
2010-04,-0.2,
2010-07,-0.2,
2010-10,-0.1,
2011-01,0.2,
2011-04,0.2,
2011-07,0.2,
2011-10,0.0,
2012-01,0.3,
2012-04,0.3,
2012-07,0.4,
2012-10,0.3,
2013-01,0.4,
2013-04,0.4,
2013-07,0.4,
2013-10,0.4,
2014-01,0.4,
