"",BBK01.CEF40K,BBK01.CEF40K_FLAGS
"",Loans  debtor: Total                     creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:16,
1999-01,137.1,
1999-04,139.5,
1999-07,141.2,
1999-10,150.1,
2000-01,154.8,
2000-04,157.3,
2000-07,159.6,
2000-10,160.0,
2001-01,162.5,
2001-04,165.4,
2001-07,168.6,
2001-10,180.7,
2002-01,185.0,
2002-04,188.4,
2002-07,191.3,
2002-10,206.3,
2003-01,210.6,
2003-04,213.6,
2003-07,216.7,
2003-10,231.3,
2004-01,238.1,
2004-04,240.9,
2004-07,243.1,
2004-10,248.0,
2005-01,248.0,
2005-04,247.2,
2005-07,251.3,
2005-10,245.5,
2006-01,246.8,
2006-04,247.3,
2006-07,244.7,
2006-10,242.1,
2007-01,233.4,
2007-04,233.6,
2007-07,235.3,
2007-10,232.5,
2008-01,229.7,
2008-04,230.9,
2008-07,230.7,
2008-10,228.3,
2009-01,236.3,
2009-04,240.5,
2009-07,242.1,
2009-10,243.4,
2010-01,250.1,
2010-04,251.9,
2010-07,253.4,
2010-10,252.7,
2011-01,254.2,
2011-04,255.3,
2011-07,256.8,
2011-10,256.6,
2012-01,260.1,
2012-04,260.9,
2012-07,262.7,
2012-10,262.7,
2013-01,263.7,
2013-04,262.8,
2013-07,263.5,
2013-10,266.7,
2014-01,269.6,
2014-04,270.4,
2014-07,270.1,
