"",BBEE1.Q.DE.AAA.XY0AAA.R.AADTB.M00,BBEE1.Q.DE.AAA.XY0AAA.R.AADTB.M00_FLAGS
"","Indicator of the German economy's price competitiveness against 25 selected industrial countries, based on the deflators of total sales",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 14:44:51,
1972-01,104.5,
1972-04,103.6,
1972-07,103.2,
1972-10,102.0,
1973-01,105.2,
1973-04,109.0,
1973-07,117.2,
1973-10,111.5,
1974-01,110.8,
1974-04,113.1,
1974-07,108.3,
1974-10,109.7,
1975-01,109.9,
1975-04,106.6,
1975-07,102.1,
1975-10,101.0,
1976-01,102.7,
1976-04,105.3,
1976-07,105.2,
1976-10,108.3,
1977-01,106.9,
1977-04,106.6,
1977-07,107.0,
1977-10,107.7,
1978-01,109.2,
1978-04,107.6,
1978-07,105.4,
1978-10,107.7,
1979-01,108.2,
1979-04,106.6,
1979-07,107.1,
1979-10,108.4,
1980-01,107.1,
1980-04,105.0,
1980-07,103.1,
1980-10,97.9,
1981-01,94.7,
1981-04,94.0,
1981-07,92.8,
1981-10,95.7,
1982-01,94.3,
1982-04,95.8,
1982-07,95.6,
1982-10,96.1,
1983-01,97.5,
1983-04,96.5,
1983-07,94.9,
1983-10,94.4,
1984-01,93.9,
1984-04,92.7,
1984-07,91.0,
1984-10,90.0,
1985-01,88.9,
1985-04,88.7,
1985-07,90.2,
1985-10,92.0,
1986-01,94.9,
1986-04,95.0,
1986-07,97.4,
1986-10,99.4,
1987-01,101.3,
1987-04,99.8,
1987-07,99.2,
1987-10,100.6,
1988-01,99.6,
1988-04,98.0,
1988-07,96.3,
1988-10,97.0,
1989-01,95.5,
1989-04,94.8,
1989-07,94.7,
1989-10,97.0,
1990-01,99.4,
1990-04,99.1,
1990-07,97.7,
1990-10,98.7,
1991-01,98.4,
1991-04,96.6,
1991-07,96.7,
1991-10,99.4,
1992-01,99.4,
1992-04,100.0,
1992-07,103.5,
1992-10,106.3,
1993-01,106.8,
1993-04,106.1,
1993-07,105.9,
1993-10,106.6,
1994-01,104.9,
1994-04,105.5,
1994-07,107.6,
1994-10,107.6,
1995-01,110.4,
1995-04,112.1,
1995-07,110.7,
1995-10,111.1,
1996-01,109.0,
1996-04,106.7,
1996-07,106.9,
1996-10,105.6,
1997-01,103.2,
1997-04,101.5,
1997-07,99.3,
1997-10,100.5,
1998-01,99.3,
1998-04,100.4,
1998-07,101.3,
1998-10,101.9,
1999-01,100.0,
1999-04,98.2,
1999-07,97.2,
1999-10,95.6,
2000-01,93.7,
2000-04,91.6,
2000-07,91.0,
2000-10,89.9,
2001-01,92.0,
2001-04,90.4,
2001-07,91.3,
2001-10,91.7,
2002-01,91.0,
2002-04,91.4,
2002-07,92.5,
2002-10,92.9,
2003-01,94.4,
2003-04,95.9,
2003-07,95.5,
2003-10,95.8,
2004-01,96.4,
2004-04,95.2,
2004-07,95.2,
2004-10,95.8,
2005-01,96.1,
2005-04,94.7,
2005-07,94.1,
2005-10,93.1,
2006-01,93.0,
2006-04,93.5,
2006-07,93.4,
2006-10,93.4,
2007-01,94.0,
2007-04,94.3,
2007-07,94.1,
2007-10,94.5,
2008-01,94.8,
2008-04,95.4,
2008-07,94.6,
2008-10,92.6,
2009-01,93.4,
2009-04,94.3,
2009-07,94.8,
2009-10,95.4,
2010-01,93.4,
2010-04,91.4,
2010-07,91.2,
2010-10,92.0,
2011-01,91.5,
2011-04,92.5,
2011-07,91.6,
2011-10,90.9,
2012-01,90.1,
2012-04,89.9,
2012-07,89.1,
2012-10,90.2,
2013-01,91.5,
2013-04,92.0,
2013-07,92.3,
2013-10,92.9,
2014-01,93.3,
2014-04,93.3,
2014-07,92.4,
2014-10,.,No value available
"",Source: Bundesbank calculations on the basis of seasonally adjusted data on gross domestic product and imports nominal and real.,
"","Methodology: Geometrically weighted indicator of price competitiveness, based on the deflators of total sales.                                     Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8). Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2007 and 2009. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                 For details of the methodology see the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).   Group of countries: Austria, Belgium, Canada, Cyprus (from 2008), Denmark, Estonia (from 2011), Finland, France, Germany (up to 1990, West Germany as formerly defined), Greece (from 2001), Ireland, Italy, Japan, Latvia (from 2014), Lithuania (from 2015), Luxembourg, Malta (from 2008), Netherlands, Norway, Portugal, Slovakia (from 2009), Slovenia (from 2007), Spain, Sweden, Switzerland, the United Kingdom and the United States           (the reference country is included in the group of countries cited).",
