"",BBK01.CEHXBI,BBK01.CEHXBI_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims  debtor: Insurance corporations                   creditor:  Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:57,
1991-01,4.9,
1991-04,0.0,
1991-07,-0.1,
1991-10,0.1,
1992-01,7.6,
1992-04,-0.1,
1992-07,-0.5,
1992-10,-1.6,
1993-01,5.8,
1993-04,1.6,
1993-07,-0.1,
1993-10,-2.1,
1994-01,4.9,
1994-04,4.3,
1994-07,0.5,
1994-10,0.2,
1995-01,8.0,
1995-04,0.0,
1995-07,0.6,
1995-10,-0.5,
1996-01,9.7,
1996-04,0.4,
1996-07,-0.1,
1996-10,-2.1,
1997-01,7.7,
1997-04,-0.1,
1997-07,0.1,
1997-10,-0.5,
1998-01,7.1,
1998-04,-0.2,
1998-07,0.1,
1998-10,-0.2,
1999-01,1.8,
1999-04,0.9,
1999-07,1.0,
1999-10,-0.2,
2000-01,2.0,
2000-04,0.8,
2000-07,0.8,
2000-10,-2.5,
2001-01,1.9,
2001-04,0.8,
2001-07,1.8,
2001-10,-1.6,
2002-01,3.2,
2002-04,0.8,
2002-07,1.0,
2002-10,-2.7,
2003-01,1.0,
2003-04,1.0,
2003-07,0.7,
2003-10,-0.9,
2004-01,1.3,
2004-04,0.2,
2004-07,0.7,
2004-10,0.6,
2005-01,1.7,
2005-04,0.4,
2005-07,1.4,
2005-10,-0.8,
2006-01,0.8,
2006-04,0.8,
2006-07,0.8,
2006-10,-0.4,
2007-01,-1.4,
2007-04,-1.4,
2007-07,-1.4,
2007-10,-4.7,
2008-01,0.1,
2008-04,0.1,
2008-07,0.0,
2008-10,0.9,
2009-01,0.0,
2009-04,0.1,
2009-07,0.0,
2009-10,0.2,
2010-01,0.0,
2010-04,-0.1,
2010-07,-0.2,
2010-10,-1.0,
2011-01,0.5,
2011-04,0.4,
2011-07,0.4,
2011-10,-0.7,
2012-01,0.6,
2012-04,0.6,
2012-07,0.6,
2012-10,0.5,
2013-01,0.8,
2013-04,0.7,
2013-07,0.6,
2013-10,0.7,
2014-01,0.8,
