"",BBAI3.Q.DE.N.V.LE.F511.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:37,
2005-10,37442,
2006-01,44853,
2006-04,46794,
2006-07,49976,
2006-10,53988,
2007-01,53679,
2007-04,53337,
2007-07,48843,
2007-10,49251,
2008-01,43016,
2008-04,38721,
2008-07,33640,
2008-10,24238,
2009-01,21546,
2009-04,21611,
2009-07,22661,
2009-10,24628,
2010-01,24749,
2010-04,23496,
2010-07,23478,
2010-10,25262,
2011-01,25087,
2011-04,22442,
2011-07,19168,
2011-10,16878,
2012-01,16972,
2012-04,16462,
2012-07,16221,
2012-10,21102,
2013-01,13970,
2013-04,14497,
2013-07,14260,
2013-10,15389,
2014-01,16203,
2014-04,15954,
2014-07,15289,
