"",BBAI3.Q.DE.N.V.LE.F.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:21,
2005-10,1633670,
2006-01,1655320,
2006-04,1655690,
2006-07,1688334,
2006-10,1709200,
2007-01,1734695,
2007-04,1752178,
2007-07,1762112,
2007-10,1779804,
2008-01,1754967,
2008-04,1744456,
2008-07,1729542,
2008-10,1714816,
2009-01,1720228,
2009-04,1736584,
2009-07,1769183,
2009-10,1779630,
2010-01,1826292,
2010-04,1845780,
2010-07,1868237,
2010-10,1900477,
2011-01,1916139,
2011-04,1926731,
2011-07,1937415,
2011-10,1947829,
2012-01,1994418,
2012-04,2013061,
2012-07,2059238,
2012-10,2090890,
2013-01,2129097,
2013-04,2122648,
2013-07,2138272,
2013-10,2164591,
2014-01,2216521,
2014-04,2263156,
2014-07,2295780,
