"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1980-11,.,No value available
1980-12,5.573,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,7.331,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,8.040,
1982-10,8.004,
1982-11,8.181,
1982-12,8.563,
1983-01,8.435,
1983-02,8.596,
1983-03,8.610,
1983-04,8.517,
1983-05,8.710,
1983-06,8.904,
1983-07,8.815,
1983-08,8.938,
1983-09,9.160,
1983-10,9.071,
1983-11,9.109,
1983-12,9.277,
1984-01,9.108,
1984-02,9.226,
1984-03,9.340,
1984-04,9.204,
1984-05,9.254,
1984-06,9.135,
1984-07,9.221,
1984-08,9.135,
1984-09,9.092,
1984-10,9.293,
1984-11,9.286,
1984-12,9.166,
1985-01,9.113,
1985-02,9.257,
1985-03,9.315,
1985-04,9.270,
1985-05,8.989,
1985-06,8.701,
1985-07,8.715,
1985-08,8.753,
1985-09,8.733,
1985-10,8.744,
1985-11,8.701,
1985-12,8.556,
1986-01,8.664,
1986-02,8.531,
1986-03,8.536,
1986-04,8.558,
1986-05,8.574,
1986-06,8.518,
1986-07,8.392,
1986-08,8.409,
1986-09,8.224,
1986-10,8.253,
1986-11,7.963,
1986-12,7.701,
1987-01,7.763,
1987-02,7.756,
1987-03,7.725,
1987-04,7.713,
1987-05,7.672,
1987-06,7.686,
1987-07,7.745,
1987-08,7.624,
1987-09,7.553,
1987-10,7.332,
1987-11,7.316,
1987-12,7.401,
1988-01,7.421,
1988-02,7.387,
1988-03,7.497,
1988-04,7.524,
1988-05,7.554,
1988-06,8.018,
1988-07,8.010,
1988-08,8.095,
1988-09,7.945,
1988-10,7.896,
1988-11,7.838,
1988-12,7.721,
1989-01,7.771,
1989-02,7.646,
1989-03,7.593,
1989-04,8.017,
1989-05,7.930,
1989-06,7.832,
1989-07,7.827,
1989-08,7.933,
1989-09,7.550,
1989-10,7.544,
1989-11,7.756,
1989-12,7.612,
1990-01,8.382,
1990-02,8.251,
1990-03,8.497,
1990-04,8.593,
1990-05,8.665,
1990-06,9.248,
1990-07,9.586,
1990-08,9.440,
1990-09,9.262,
1990-10,9.118,
1990-11,9.245,
1990-12,9.107,
1991-01,9.224,
1991-02,9.507,
1991-03,9.461,
1991-04,9.651,
1991-05,9.406,
1991-06,9.374,
1991-07,9.729,
1991-08,9.471,
1991-09,9.394,
1991-10,9.284,
1991-11,9.604,
1991-12,9.468,
1992-01,9.429,
1992-02,9.452,
1992-03,9.507,
1992-04,9.770,
1992-05,9.604,
1992-06,9.759,
1992-07,9.767,
1992-08,9.958,
1992-09,10.194,
1992-10,10.347,
1992-11,10.872,
1992-12,11.000,
1993-01,11.104,
1993-02,11.747,
1993-03,11.997,
1993-04,12.162,
1993-05,12.609,
1993-06,12.608,
1993-07,12.752,
1993-08,12.772,
1993-09,12.715,
1993-10,12.473,
1993-11,12.810,
1993-12,13.337,
1994-01,13.531,
1994-02,13.667,
1994-03,14.025,
1994-04,13.915,
1994-05,14.190,
1994-06,13.971,
1994-07,14.554,
1994-08,15.020,
1994-09,14.634,
1994-10,13.920,
1994-11,13.975,
1994-12,14.674,
1995-01,12.440,
1995-02,12.100,
1995-03,12.246,
1995-04,12.251,
1995-05,12.258,
1995-06,11.832,
1995-07,12.187,
1995-08,12.068,
1995-09,12.261,
1995-10,12.595,
1995-11,13.082,
1995-12,12.458,
1996-01,12.301,
1996-02,12.204,
1996-03,11.982,
1996-04,12.142,
1996-05,12.238,
1996-06,12.122,
1996-07,12.023,
1996-08,12.181,
1996-09,12.165,
1996-10,12.134,
1996-11,12.014,
1996-12,12.196,
1997-01,12.639,
1997-02,12.580,
1997-03,12.464,
1997-04,12.613,
1997-05,12.303,
1997-06,12.173,
1997-07,12.394,
1997-08,12.736,
1997-09,12.524,
1997-10,12.569,
1997-11,12.712,
1997-12,12.675,
1998-01,12.628,
1998-02,12.398,
1998-03,12.458,
1998-04,12.661,
1998-05,12.760,
1998-06,14.178,
1998-07,14.503,
1998-08,14.614,
1998-09,15.055,
1998-10,14.934,
1998-11,14.177,
1998-12,14.262,
1999-01,14.674,
1999-02,14.668,
1999-03,14.467,
1999-04,14.816,
1999-05,14.809,
1999-06,13.954,
1999-07,16.100,
1999-08,16.111,
1999-09,16.468,
1999-10,16.649,
1999-11,16.471,
1999-12,16.936,
2000-01,17.225,
2000-02,16.018,
2000-03,16.110,
2000-04,15.805,
2000-05,15.965,
2000-06,15.892,
2000-07,16.487,
2000-08,16.460,
2000-09,17.872,
2000-10,18.443,
2000-11,19.068,
2000-12,19.625,
2001-01,19.859,
2001-02,22.735,
2001-03,23.148,
2001-04,26.399,
2001-05,26.617,
2001-06,26.413,
2001-07,27.887,
2001-08,29.787,
2001-09,30.320,
2001-10,30.934,
2001-11,32.159,
2001-12,31.963,
2002-01,32.900,
2002-02,32.980,
2002-03,32.159,
2002-04,32.444,
2002-05,32.362,
2002-06,32.226,
2002-07,33.781,
2002-08,33.982,
2002-09,33.861,
2002-10,34.757,
2002-11,35.195,
2002-12,33.363,
2003-01,33.789,
2003-02,34.815,
2003-03,28.040,
2003-04,28.523,
2003-05,28.993,
2003-06,30.736,
2003-07,30.981,
2003-08,32.209,
2003-09,32.031,
2003-10,32.691,
2003-11,32.717,
2003-12,32.110,
2004-01,32.747,
2004-02,33.413,
2004-03,33.621,
2004-04,33.469,
2004-05,33.752,
2004-06,33.998,
2004-07,33.558,
2004-08,33.109,
2004-09,32.887,
2004-10,31.483,
2004-11,31.758,
2004-12,32.776,
2005-01,32.707,
2005-02,35.166,
2005-03,35.488,
2005-04,35.325,
2005-05,36.296,
2005-06,38.354,
2005-07,39.664,
2005-08,40.326,
2005-09,43.396,
2005-10,44.475,
2005-11,43.514,
2005-12,44.313,
2006-01,45.759,
2006-02,47.781,
2006-03,46.953,
2006-04,48.073,
2006-05,49.535,
2006-06,54.752,
2006-07,56.034,
2006-08,58.274,
2006-09,59.363,
2006-10,60.587,
2006-11,63.045,
2006-12,65.074,
2007-01,65.587,
2007-02,65.020,
2007-03,65.493,
2007-04,67.524,
2007-05,68.926,
2007-06,69.842,
2007-07,70.313,
2007-08,73.888,
2007-09,75.427,
2007-10,76.888,
2007-11,77.048,
2007-12,80.691,
2008-01,82.164,
2008-02,89.854,
2008-03,93.432,
2008-04,95.151,
2008-05,96.183,
2008-06,96.616,
2008-07,96.685,
2008-08,97.535,
2008-09,97.016,
2008-10,97.523,
2008-11,98.396,
2008-12,104.823,
2009-01,107.572,
2009-02,109.608,
2009-03,104.916,
2009-04,106.322,
2009-05,107.720,
2009-06,107.696,
2009-07,108.018,
2009-08,113.635,
2009-09,113.297,
2009-10,111.029,
2009-11,111.470,
2009-12,110.879,
2010-01,108.993,
2010-02,108.419,
2010-03,109.412,
2010-04,109.668,
2010-05,110.561,
2010-06,109.255,
2010-07,112.492,
2010-08,110.840,
2010-09,109.720,
2010-10,107.959,
2010-11,107.919,
2010-12,111.903,
2011-01,110.190,
2011-02,107.784,
2011-03,106.943,
2011-04,102.803,
2011-05,103.181,
2011-06,100.494,
2011-07,101.177,
2011-08,100.778,
2011-09,98.186,
2011-10,98.051,
2011-11,98.097,
2011-12,98.027,
2012-01,97.491,
2012-02,97.255,
2012-03,96.474,
2012-04,97.656,
2012-05,94.023,
2012-06,93.382,
2012-07,93.028,
2012-08,94.790,
2012-09,90.940,
2012-10,91.615,
2012-11,92.076,
2012-12,89.870,
2013-01,89.042,
2013-02,88.238,
2013-03,89.924,
2013-04,88.692,
2013-05,86.915,
2013-06,84.500,
2013-07,82.682,
2013-08,79.493,
2013-09,82.706,
2013-10,79.769,
2013-11,78.644,
2013-12,74.194,
2014-01,73.253,
2014-02,72.032,
2014-03,70.546,
2014-04,71.574,
2014-05,71.420,
2014-06,71.600,
2014-07,71.673,
2014-08,71.691,
2014-09,71.952,
2014-10,71.801,
2014-11,72.476,
2014-12,72.332,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
