"",BBAI3.Q.DE.N.V.LE.F7.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:22,
2005-10,2114,
2006-01,2132,
2006-04,2162,
2006-07,2167,
2006-10,2192,
2007-01,2157,
2007-04,2133,
2007-07,2103,
2007-10,2097,
2008-01,2108,
2008-04,2124,
2008-07,2130,
2008-10,2129,
2009-01,2132,
2009-04,2144,
2009-07,2139,
2009-10,2118,
2010-01,2063,
2010-04,2018,
2010-07,1969,
2010-10,1958,
2011-01,1907,
2011-04,1924,
2011-07,1949,
2011-10,1996,
2012-01,2016,
2012-04,2033,
2012-07,2037,
2012-10,2055,
2013-01,2076,
2013-04,2090,
2013-07,2095,
2013-10,2120,
2014-01,2162,
2014-04,2199,
2014-07,2219,
