"",BBFN1.M.DE.N.1.L.MY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.MY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1991-04,0.006,
1991-05,0.003,
1991-06,0.003,
1991-07,0.003,
1991-08,0.002,
1991-09,0.003,
1991-10,0.001,
1991-11,0.001,
1991-12,0.001,
1992-01,0.001,
1992-02,0.001,
1992-03,0.001,
1992-04,0.001,
1992-05,0.001,
1992-06,0.001,
1992-07,0.001,
1992-08,0.001,
1992-09,0.001,
1992-10,0.001,
1992-11,0.001,
1992-12,0.001,
1993-01,0.001,
1993-02,0.001,
1993-03,0.001,
1993-04,0.001,
1993-05,0.001,
1993-06,0.001,
1993-07,0.001,
1993-08,0.002,
1993-09,0.001,
1993-10,0.002,
1993-11,0.001,
1993-12,0.001,
1994-01,0.002,
1994-02,0.001,
1994-03,0.002,
1994-04,0.001,
1994-05,0.001,
1994-06,0.002,
1994-07,0.000,
1994-08,0.001,
1994-09,0.001,
1994-10,0.003,
1994-11,0.001,
1994-12,0.001,
1995-01,0.004,
1995-02,0.002,
1995-03,0.006,
1995-04,0.018,
1995-05,0.007,
1995-06,0.007,
1995-07,0.008,
1995-08,0.010,
1995-09,0.011,
1995-10,0.006,
1995-11,0.017,
1995-12,0.016,
1996-01,0.039,
1996-02,0.048,
1996-03,0.048,
1996-04,0.028,
1996-05,0.015,
1996-06,0.014,
1996-07,0.015,
1996-08,0.018,
1996-09,0.019,
1996-10,0.057,
1996-11,0.017,
1996-12,0.026,
1997-01,0.026,
1997-02,0.037,
1997-03,0.038,
1997-04,0.034,
1997-05,0.026,
1997-06,0.040,
1997-07,0.025,
1997-08,0.021,
1997-09,0.022,
1997-10,.,No value available
1997-11,.,No value available
1997-12,.,No value available
1998-01,0.024,
1998-02,.,No value available
1998-03,.,No value available
1998-04,.,No value available
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,.,No value available
1998-09,0.040,
1998-10,.,No value available
1998-11,.,No value available
1998-12,.,No value available
1999-01,.,No value available
1999-02,.,No value available
1999-03,.,No value available
1999-04,0.144,
1999-05,0.188,
1999-06,0.248,
1999-07,0.130,
1999-08,0.166,
1999-09,0.040,
1999-10,0.023,
1999-11,0.028,
1999-12,.,No value available
2000-01,.,No value available
2000-02,.,No value available
2000-03,.,No value available
2000-04,.,No value available
2000-05,.,No value available
2000-06,.,No value available
2000-07,.,No value available
2000-08,.,No value available
2000-09,.,No value available
2000-10,.,No value available
2000-11,.,No value available
2000-12,.,No value available
2001-01,.,No value available
2001-02,.,No value available
2001-03,0.061,
2001-04,0.059,
2001-05,0.054,
2001-06,0.070,
2001-07,0.075,
2001-08,0.078,
2001-09,0.065,
2001-10,0.056,
2001-11,0.047,
2001-12,0.047,
2002-01,0.056,
2002-02,0.050,
2002-03,0.044,
2002-04,0.053,
2002-05,0.052,
2002-06,0.054,
2002-07,0.048,
2002-08,0.048,
2002-09,0.056,
2002-10,0.049,
2002-11,0.047,
2002-12,0.048,
2003-01,0.057,
2003-02,0.065,
2003-03,0.064,
2003-04,0.055,
2003-05,0.055,
2003-06,0.062,
2003-07,0.050,
2003-08,0.058,
2003-09,0.051,
2003-10,0.050,
2003-11,0.037,
2003-12,0.037,
2004-01,0.065,
2004-02,0.049,
2004-03,0.071,
2004-04,0.072,
2004-05,0.057,
2004-06,0.081,
2004-07,0.071,
2004-08,0.070,
2004-09,0.086,
2004-10,0.080,
2004-11,0.075,
2004-12,0.078,
2005-01,0.038,
2005-02,.,No value available
2005-03,.,No value available
2005-04,.,No value available
2005-05,.,No value available
2005-06,.,No value available
2005-07,.,No value available
2005-08,.,No value available
2005-09,.,No value available
2005-10,.,No value available
2005-11,0.045,
2005-12,0.046,
2006-01,.,No value available
2006-02,.,No value available
2006-03,.,No value available
2006-04,.,No value available
2006-05,0.035,
2006-06,0.052,
2006-07,0.056,
2006-08,0.057,
2006-09,0.138,
2006-10,0.125,
2006-11,0.099,
2006-12,0.093,
2007-01,0.112,
2007-02,0.090,
2007-03,0.086,
2007-04,0.082,
2007-05,0.079,
2007-06,0.071,
2007-07,0.083,
2007-08,0.081,
2007-09,0.113,
2007-10,0.118,
2007-11,0.095,
2007-12,0.094,
2008-01,0.120,
2008-02,0.125,
2008-03,0.106,
2008-04,0.105,
2008-05,0.113,
2008-06,0.110,
2008-07,0.111,
2008-08,0.112,
2008-09,0.115,
2008-10,0.121,
2008-11,0.140,
2008-12,0.137,
2009-01,0.135,
2009-02,0.149,
2009-03,0.153,
2009-04,0.165,
2009-05,0.153,
2009-06,0.148,
2009-07,0.168,
2009-08,0.166,
2009-09,0.193,
2009-10,0.215,
2009-11,0.227,
2009-12,0.221,
2010-01,0.251,
2010-02,0.253,
2010-03,0.251,
2010-04,0.213,
2010-05,0.207,
2010-06,0.199,
2010-07,0.234,
2010-08,0.251,
2010-09,0.243,
2010-10,0.254,
2010-11,0.256,
2010-12,0.236,
2011-01,0.240,
2011-02,0.235,
2011-03,0.238,
2011-04,0.240,
2011-05,0.224,
2011-06,0.236,
2011-07,0.228,
2011-08,0.204,
2011-09,0.129,
2011-10,0.214,
2011-11,0.211,
2011-12,0.260,
2012-01,0.262,
2012-02,0.357,
2012-03,0.338,
2012-04,0.374,
2012-05,0.370,
2012-06,0.393,
2012-07,0.420,
2012-08,0.422,
2012-09,0.417,
2012-10,0.402,
2012-11,0.388,
2012-12,0.402,
2013-01,0.423,
2013-02,0.452,
2013-03,0.512,
2013-04,0.518,
2013-05,0.530,
2013-06,0.493,
2013-07,0.485,
2013-08,0.524,
2013-09,0.554,
2013-10,0.532,
2013-11,0.555,
2013-12,0.460,
2014-01,0.431,
2014-02,0.439,
2014-03,0.440,
2014-04,0.360,
2014-05,0.368,
2014-06,0.363,
2014-07,0.362,
2014-08,0.347,
2014-09,0.337,
2014-10,0.358,
2014-11,0.350,
2014-12,0.293,
