"",BBFN1.M.DE.N.1.A.LI.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LI.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
1996-05,0.205,
1996-06,0.220,
1996-07,0.219,
1996-08,0.224,
1996-09,0.221,
1996-10,0.223,
1996-11,0.235,
1996-12,0.224,
1997-01,0.242,
1997-02,0.330,
1997-03,0.343,
1997-04,0.286,
1997-05,0.353,
1997-06,0.353,
1997-07,0.328,
1997-08,0.328,
1997-09,0.330,
1997-10,0.326,
1997-11,0.344,
1997-12,0.349,
1998-01,0.287,
1998-02,0.286,
1998-03,0.300,
1998-04,0.311,
1998-05,0.316,
1998-06,0.313,
1998-07,0.288,
1998-08,0.374,
1998-09,0.414,
1998-10,0.553,
1998-11,0.549,
1998-12,0.568,
1999-01,0.474,
1999-02,0.480,
1999-03,0.499,
1999-04,0.196,
1999-05,0.265,
1999-06,0.197,
1999-07,0.172,
1999-08,0.176,
1999-09,0.171,
1999-10,0.182,
1999-11,0.170,
1999-12,0.196,
2000-01,0.169,
2000-02,0.169,
2000-03,0.172,
2000-04,0.184,
2000-05,0.196,
2000-06,0.208,
2000-07,0.155,
2000-08,0.171,
2000-09,0.155,
2000-10,0.171,
2000-11,0.169,
2000-12,0.198,
2001-01,0.194,
2001-02,0.191,
2001-03,0.177,
2001-04,0.183,
2001-05,0.174,
2001-06,0.220,
2001-07,0.207,
2001-08,0.203,
2001-09,0.197,
2001-10,0.178,
2001-11,0.255,
2001-12,0.219,
2002-01,0.248,
2002-02,0.243,
2002-03,0.189,
2002-04,0.173,
2002-05,0.171,
2002-06,0.178,
2002-07,0.177,
2002-08,0.214,
2002-09,0.213,
2002-10,0.242,
2002-11,0.242,
2002-12,0.255,
2003-01,0.232,
2003-02,0.238,
2003-03,0.225,
2003-04,0.220,
2003-05,0.208,
2003-06,0.232,
2003-07,0.232,
2003-08,0.223,
2003-09,0.226,
2003-10,0.224,
2003-11,0.224,
2003-12,0.485,
2004-01,0.235,
2004-02,0.243,
2004-03,0.210,
2004-04,0.241,
2004-05,0.247,
2004-06,0.240,
2004-07,0.259,
2004-08,0.262,
2004-09,0.272,
2004-10,0.270,
2004-11,0.265,
2004-12,0.263,
2005-01,0.260,
2005-02,0.274,
2005-03,0.271,
2005-04,0.227,
2005-05,0.231,
2005-06,0.241,
2005-07,0.232,
2005-08,0.235,
2005-09,0.348,
2005-10,0.323,
2005-11,0.335,
2005-12,0.233,
2006-01,0.210,
2006-02,0.189,
2006-03,0.193,
2006-04,0.194,
2006-05,0.158,
2006-06,0.153,
2006-07,0.143,
2006-08,0.140,
2006-09,0.087,
2006-10,0.083,
2006-11,0.080,
2006-12,0.095,
2007-01,0.092,
2007-02,0.102,
2007-03,0.106,
2007-04,0.103,
2007-05,0.118,
2007-06,0.121,
2007-07,0.106,
2007-08,0.113,
2007-09,0.120,
2007-10,0.121,
2007-11,0.148,
2007-12,0.151,
2008-01,0.150,
2008-02,0.154,
2008-03,0.162,
2008-04,0.166,
2008-05,0.155,
2008-06,0.155,
2008-07,0.249,
2008-08,0.168,
2008-09,0.172,
2008-10,0.161,
2008-11,0.158,
2008-12,0.154,
2009-01,0.163,
2009-02,0.230,
2009-03,0.153,
2009-04,0.159,
2009-05,0.158,
2009-06,0.160,
2009-07,0.161,
2009-08,0.172,
2009-09,0.156,
2009-10,0.159,
2009-11,0.155,
2009-12,0.110,
2010-01,0.119,
2010-02,0.116,
2010-03,0.128,
2010-04,0.123,
2010-05,0.129,
2010-06,0.146,
2010-07,0.134,
2010-08,0.135,
2010-09,0.142,
2010-10,0.151,
2010-11,0.180,
2010-12,0.130,
2011-01,0.138,
2011-02,0.135,
2011-03,0.138,
2011-04,0.146,
2011-05,0.144,
2011-06,0.145,
2011-07,0.179,
2011-08,0.136,
2011-09,0.141,
2011-10,0.149,
2011-11,0.195,
2011-12,0.252,
2012-01,0.249,
2012-02,0.257,
2012-03,0.266,
2012-04,0.285,
2012-05,0.281,
2012-06,0.288,
2012-07,0.296,
2012-08,0.418,
2012-09,0.407,
2012-10,0.411,
2012-11,0.412,
2012-12,0.380,
2013-01,0.364,
2013-02,0.366,
2013-03,0.393,
2013-04,0.407,
2013-05,0.387,
2013-06,0.385,
2013-07,0.537,
2013-08,0.553,
2013-09,0.532,
2013-10,0.544,
2013-11,0.554,
2013-12,0.513,
2014-01,0.509,
2014-02,0.524,
2014-03,0.511,
2014-04,0.531,
2014-05,0.525,
2014-06,0.509,
2014-07,0.524,
2014-08,0.521,
2014-09,0.532,
2014-10,0.533,
2014-11,0.558,
2014-12,0.550,
