"",BBQFS.M.DE.CORP.IMP_RSK_DAX._X.0000,BBQFS.M.DE.CORP.IMP_RSK_DAX._X.0000_FLAGS
"",Implied equity risk premium DAX price index (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:25,
2005-01,4.26,
2005-02,4.00,
2005-03,4.27,
2005-04,4.71,
2005-05,4.61,
2005-06,4.73,
2005-07,4.38,
2005-08,4.57,
2005-09,4.60,
2005-10,4.45,
2005-11,4.18,
2005-12,4.20,
2006-01,3.96,
2006-02,3.86,
2006-03,3.75,
2006-04,3.56,
2006-05,3.74,
2006-06,3.67,
2006-07,3.82,
2006-08,3.86,
2006-09,3.83,
2006-10,3.71,
2006-11,3.73,
2006-12,3.29,
2007-01,3.21,
2007-02,3.39,
2007-03,3.23,
2007-04,3.13,
2007-05,2.70,
2007-06,2.50,
2007-07,2.88,
2007-08,2.96,
2007-09,2.77,
2007-10,2.83,
2007-11,3.01,
2007-12,2.77,
2008-01,3.82,
2008-02,3.92,
2008-03,3.78,
2008-04,3.38,
2008-05,3.08,
2008-06,3.12,
2008-07,3.35,
2008-08,3.56,
2008-09,3.84,
2008-10,4.61,
2008-11,5.56,
2008-12,5.74,
2009-01,5.91,
2009-02,6.39,
2009-03,5.97,
2009-04,5.10,
2009-05,4.54,
2009-06,5.02,
2009-07,4.45,
2009-08,4.40,
2009-09,4.30,
2009-10,4.47,
2009-11,4.43,
2009-12,4.01,
2010-01,4.37,
2010-02,4.65,
2010-03,4.49,
2010-04,4.76,
2010-05,5.57,
2010-06,5.78,
2010-07,5.55,
2010-08,6.29,
2010-09,5.62,
2010-10,5.54,
2010-11,5.35,
2010-12,4.94,
2011-01,4.69,
2011-02,4.64,
2011-03,4.65,
2011-04,4.57,
2011-05,5.02,
2011-06,5.14,
2011-07,5.76,
2011-08,6.78,
2011-09,7.34,
2011-10,6.83,
2011-11,6.64,
2011-12,7.23,
2012-01,6.85,
2012-02,6.53,
2012-03,6.51,
2012-04,6.82,
2012-05,7.71,
2012-06,7.21,
2012-07,7.26,
2012-08,7.08,
2012-09,6.72,
2012-10,6.67,
2012-11,6.67,
2012-12,6.60,
2013-01,6.16,
2013-02,6.41,
2013-03,6.54,
2013-04,6.69,
2013-05,6.25,
2013-06,6.09,
2013-07,6.02,
2013-08,5.91,
2013-09,5.87,
2013-10,5.79,
2013-11,5.63,
2013-12,5.37,
2014-01,5.74,
2014-02,5.64,
2014-03,5.78,
2014-04,5.88,
2014-05,5.93,
2014-06,6.04,
2014-07,6.29,
2014-08,6.53,
2014-09,6.68,
2014-10,6.84,
"",Source: Bloomberg and Bundesbank calculations,
"",Methodology: Difference on the market-implied yield and government bonds. The marktet-implied yield is calculated on the basis of residual earnings ((return on equity minus cost of equity) * book value of equity in the previous period) and prices taken from stock indices,
