"",BBK01.CEBEQB,BBK01.CEBEQB_FLAGS
"",short-term loans debtor: All sectors   (consolidated)                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:44,
1991-01,12.7,
1991-04,13.0,
1991-07,13.3,
1991-10,13.9,
1992-01,14.3,
1992-04,15.0,
1992-07,15.3,
1992-10,15.5,
1993-01,16.1,
1993-04,16.4,
1993-07,16.8,
1993-10,17.4,
1994-01,18.3,
1994-04,19.0,
1994-07,18.9,
1994-10,19.7,
1995-01,19.8,
1995-04,20.3,
1995-07,20.8,
1995-10,20.4,
1996-01,21.2,
1996-04,21.6,
1996-07,22.1,
1996-10,22.7,
1997-01,23.2,
1997-04,23.9,
1997-07,24.6,
1997-10,24.7,
1998-01,25.2,
1998-04,25.6,
1998-07,26.5,
1998-10,26.7,
1999-01,27.2,
1999-04,28.4,
1999-07,29.0,
1999-10,30.1,
2000-01,34.2,
2000-04,34.4,
2000-07,35.2,
2000-10,35.8,
2001-01,36.5,
2001-04,37.7,
2001-07,37.5,
2001-10,39.5,
2002-01,40.5,
2002-04,42.0,
2002-07,45.5,
2002-10,45.9,
2003-01,48.5,
2003-04,48.5,
2003-07,48.9,
2003-10,50.4,
2004-01,52.7,
2004-04,53.6,
2004-07,54.1,
2004-10,54.0,
2005-01,53.1,
2005-04,52.7,
2005-07,56.7,
2005-10,53.3,
2006-01,50.6,
2006-04,49.2,
2006-07,44.5,
2006-10,42.2,
2007-01,30.4,
2007-04,28.6,
2007-07,26.7,
2007-10,25.4,
2008-01,25.3,
2008-04,24.9,
2008-07,25.0,
2008-10,24.4,
2009-01,25.5,
2009-04,25.5,
2009-07,25.5,
2009-10,25.0,
2010-01,26.1,
2010-04,26.5,
2010-07,27.2,
2010-10,27.7,
2011-01,28.4,
2011-04,28.5,
2011-07,29.2,
2011-10,30.0,
2012-01,30.6,
2012-04,31.8,
2012-07,32.5,
2012-10,32.2,
2013-01,32.7,
2013-04,31.2,
2013-07,29.7,
2013-10,29.6,
2014-01,31.2,
