"",BBFN1.M.DE.N.1.A.CZ.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CZ.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1986-05,0.000,
1986-06,0.000,
1986-07,0.000,
1986-08,0.000,
1986-09,0.000,
1986-10,0.000,
1986-11,0.000,
1986-12,0.000,
1987-01,0.000,
1987-02,0.000,
1987-03,0.000,
1987-04,0.000,
1987-05,0.000,
1987-06,0.000,
1987-07,0.000,
1987-08,0.000,
1987-09,0.000,
1987-10,0.000,
1987-11,0.000,
1987-12,0.000,
1988-01,0.000,
1988-02,0.000,
1988-03,0.000,
1988-04,0.000,
1988-05,0.000,
1988-06,0.000,
1988-07,0.000,
1988-08,0.000,
1988-09,0.000,
1988-10,0.000,
1988-11,0.000,
1988-12,0.000,
1989-01,0.000,
1989-02,0.000,
1989-03,0.000,
1989-04,0.000,
1989-05,0.000,
1989-06,0.000,
1989-07,0.000,
1989-08,0.000,
1989-09,0.000,
1989-10,0.000,
1989-11,0.000,
1989-12,0.000,
1990-01,0.000,
1990-02,0.000,
1990-03,0.000,
1990-04,0.000,
1990-05,0.000,
1990-06,0.000,
1990-07,0.000,
1990-08,0.000,
1990-09,0.000,
1990-10,0.000,
1990-11,0.000,
1990-12,0.000,
1991-01,0.000,
1991-02,0.000,
1991-03,0.000,
1991-04,0.000,
1991-05,0.000,
1991-06,0.000,
1991-07,0.000,
1991-08,0.000,
1991-09,0.000,
1991-10,0.000,
1991-11,0.000,
1991-12,0.000,
1992-01,0.000,
1992-02,0.000,
1992-03,0.000,
1992-04,0.000,
1992-05,0.000,
1992-06,0.000,
1992-07,0.000,
1992-08,0.000,
1992-09,0.000,
1992-10,0.000,
1992-11,0.000,
1992-12,0.000,
1993-01,0.033,
1993-02,0.033,
1993-03,0.029,
1993-04,0.041,
1993-05,0.046,
1993-06,0.049,
1993-07,0.048,
1993-08,0.050,
1993-09,0.055,
1993-10,0.057,
1993-11,0.073,
1993-12,0.065,
1994-01,0.062,
1994-02,0.063,
1994-03,0.064,
1994-04,0.069,
1994-05,0.070,
1994-06,0.064,
1994-07,0.073,
1994-08,0.078,
1994-09,0.088,
1994-10,0.086,
1994-11,0.085,
1994-12,0.086,
1995-01,0.104,
1995-02,0.102,
1995-03,0.096,
1995-04,0.103,
1995-05,0.105,
1995-06,0.111,
1995-07,0.120,
1995-08,0.124,
1995-09,0.123,
1995-10,0.132,
1995-11,0.129,
1995-12,0.118,
1996-01,0.137,
1996-02,0.145,
1996-03,0.171,
1996-04,0.224,
1996-05,0.195,
1996-06,0.205,
1996-07,0.205,
1996-08,0.205,
1996-09,0.285,
1996-10,0.245,
1996-11,0.241,
1996-12,0.237,
1997-01,0.252,
1997-02,0.266,
1997-03,0.287,
1997-04,0.303,
1997-05,0.314,
1997-06,0.350,
1997-07,0.358,
1997-08,0.370,
1997-09,0.361,
1997-10,0.360,
1997-11,0.357,
1997-12,0.381,
1998-01,0.361,
1998-02,0.432,
1998-03,0.477,
1998-04,0.523,
1998-05,0.642,
1998-06,0.676,
1998-07,0.754,
1998-08,0.773,
1998-09,0.826,
1998-10,0.808,
1998-11,0.840,
1998-12,0.732,
1999-01,0.721,
1999-02,0.730,
1999-03,0.785,
1999-04,0.768,
1999-05,0.723,
1999-06,0.734,
1999-07,0.753,
1999-08,0.743,
1999-09,0.751,
1999-10,0.767,
1999-11,0.672,
1999-12,0.673,
2000-01,0.697,
2000-02,0.700,
2000-03,0.708,
2000-04,0.655,
2000-05,0.624,
2000-06,0.676,
2000-07,0.737,
2000-08,0.720,
2000-09,0.673,
2000-10,0.636,
2000-11,0.652,
2000-12,0.713,
2001-01,0.702,
2001-02,0.749,
2001-03,0.770,
2001-04,0.799,
2001-05,0.812,
2001-06,0.855,
2001-07,0.844,
2001-08,0.872,
2001-09,0.952,
2001-10,0.843,
2001-11,0.794,
2001-12,0.875,
2002-01,0.806,
2002-02,0.760,
2002-03,0.780,
2002-04,0.923,
2002-05,0.883,
2002-06,0.933,
2002-07,0.829,
2002-08,0.803,
2002-09,0.718,
2002-10,0.700,
2002-11,0.693,
2002-12,0.755,
2003-01,0.801,
2003-02,0.844,
2003-03,0.825,
2003-04,0.841,
2003-05,0.906,
2003-06,0.955,
2003-07,0.951,
2003-08,0.894,
2003-09,0.925,
2003-10,0.996,
2003-11,0.966,
2003-12,1.013,
2004-01,0.993,
2004-02,0.989,
2004-03,0.993,
2004-04,0.968,
2004-05,1.009,
2004-06,1.160,
2004-07,1.116,
2004-08,1.033,
2004-09,1.069,
2004-10,1.083,
2004-11,1.117,
2004-12,1.143,
2005-01,1.144,
2005-02,1.375,
2005-03,1.246,
2005-04,1.244,
2005-05,1.251,
2005-06,1.365,
2005-07,1.232,
2005-08,1.323,
2005-09,1.306,
2005-10,1.345,
2005-11,1.350,
2005-12,1.340,
2006-01,1.437,
2006-02,1.498,
2006-03,1.393,
2006-04,1.469,
2006-05,1.438,
2006-06,1.488,
2006-07,1.485,
2006-08,1.506,
2006-09,1.510,
2006-10,1.420,
2006-11,1.475,
2006-12,1.468,
2007-01,1.515,
2007-02,1.539,
2007-03,1.572,
2007-04,1.621,
2007-05,1.674,
2007-06,1.704,
2007-07,1.771,
2007-08,1.750,
2007-09,1.770,
2007-10,1.916,
2007-11,1.904,
2007-12,1.841,
2008-01,1.867,
2008-02,1.492,
2008-03,1.591,
2008-04,1.643,
2008-05,1.743,
2008-06,1.981,
2008-07,1.802,
2008-08,1.722,
2008-09,1.755,
2008-10,1.825,
2008-11,1.787,
2008-12,1.724,
2009-01,1.673,
2009-02,1.767,
2009-03,1.775,
2009-04,1.881,
2009-05,1.774,
2009-06,1.770,
2009-07,1.850,
2009-08,1.877,
2009-09,1.797,
2009-10,1.780,
2009-11,1.709,
2009-12,1.650,
2010-01,1.634,
2010-02,1.557,
2010-03,1.791,
2010-04,2.025,
2010-05,2.014,
2010-06,1.863,
2010-07,2.102,
2010-08,1.963,
2010-09,1.925,
2010-10,1.983,
2010-11,1.875,
2010-12,1.957,
2011-01,1.888,
2011-02,1.987,
2011-03,1.977,
2011-04,1.962,
2011-05,1.945,
2011-06,2.072,
2011-07,2.067,
2011-08,2.043,
2011-09,2.036,
2011-10,2.025,
2011-11,1.868,
2011-12,1.781,
2012-01,1.808,
2012-02,1.232,
2012-03,1.786,
2012-04,2.019,
2012-05,1.472,
2012-06,1.484,
2012-07,1.949,
2012-08,1.875,
2012-09,1.905,
2012-10,1.847,
2012-11,1.747,
2012-12,1.788,
2013-01,1.831,
2013-02,1.976,
2013-03,1.958,
2013-04,1.939,
2013-05,1.990,
2013-06,1.979,
2013-07,1.903,
2013-08,1.941,
2013-09,1.392,
2013-10,1.446,
2013-11,1.475,
2013-12,1.300,
2014-01,1.353,
2014-02,1.502,
2014-03,1.423,
2014-04,1.244,
2014-05,1.360,
2014-06,1.343,
2014-07,1.258,
2014-08,1.269,
2014-09,1.283,
2014-10,1.216,
2014-11,1.184,
2014-12,1.271,
