"",BBK01.CEBW11,BBK01.CEBW11_FLAGS
"",Longer-term claims on insurance corporations debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:50,
1991-01,328.4,
1991-04,329.9,
1991-07,341.2,
1991-10,344.3,
1992-01,353.2,
1992-04,360.5,
1992-07,367.6,
1992-10,374.2,
1993-01,378.8,
1993-04,389.9,
1993-07,398.6,
1993-10,411.3,
1994-01,419.2,
1994-04,431.7,
1994-07,439.7,
1994-10,448.7,
1995-01,462.3,
1995-04,471.7,
1995-07,481.2,
1995-10,491.8,
1996-01,506.1,
1996-04,516.0,
1996-07,526.3,
1996-10,539.3,
1997-01,555.4,
1997-04,565.8,
1997-07,577.4,
1997-10,589.9,
1998-01,606.9,
1998-04,619.2,
1998-07,628.9,
1998-10,641.9,
1999-01,658.9,
1999-04,670.0,
1999-07,683.0,
1999-10,700.2,
2000-01,717.7,
2000-04,728.7,
2000-07,740.9,
2000-10,754.9,
2001-01,772.1,
2001-04,782.1,
2001-07,794.5,
2001-10,798.5,
2002-01,815.4,
2002-04,825.3,
2002-07,837.0,
2002-10,830.1,
2003-01,845.4,
2003-04,854.9,
2003-07,865.1,
2003-10,874.1,
2004-01,887.1,
2004-04,895.8,
2004-07,904.6,
2004-10,919.3,
2005-01,932.5,
2005-04,941.7,
2005-07,951.0,
2005-10,979.7,
2006-01,993.2,
2006-04,1007.3,
2006-07,1023.4,
2006-10,1039.2,
2007-01,1056.3,
2007-04,1071.2,
2007-07,1088.1,
2007-10,1119.9,
2008-01,1125.6,
2008-04,1131.6,
2008-07,1137.7,
2008-10,1143.4,
2009-01,1159.6,
2009-04,1176.9,
2009-07,1194.5,
2009-10,1212.6,
2010-01,1230.1,
2010-04,1248.5,
2010-07,1266.4,
2010-10,1287.3,
2011-01,1297.6,
2011-04,1307.4,
2011-07,1317.2,
2011-10,1329.6,
2012-01,1348.6,
2012-04,1365.1,
2012-07,1382.0,
2012-10,1404.2,
2013-01,1429.6,
2013-04,1447.0,
2013-07,1459.7,
2013-10,1476.2,
2014-01,1500.8,
