"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F6._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F6._Z._T._X.N_FLAGS
"","IIP - Other Investment - Insurance, pension and standardized guarantee schemes - Assets - Positions - all sectors - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:27,
1999-10,19243,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,20074,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,27133,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,22769,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,28306,
2004-01,30210,
2004-04,31671,
2004-07,32949,
2004-10,34279,
2005-01,35128,
2005-04,35901,
2005-07,36321,
2005-10,36068,
2006-01,35471,
2006-04,34431,
2006-07,33570,
2006-10,33472,
2007-01,34430,
2007-04,36188,
2007-07,38279,
2007-10,40196,
2008-01,40868,
2008-04,40799,
2008-07,40112,
2008-10,38837,
2009-01,36418,
2009-04,33742,
2009-07,31079,
2009-10,28714,
2010-01,28268,
2010-04,28192,
2010-07,28508,
2010-10,29118,
2011-01,30359,
2011-04,31629,
2011-07,32958,
2011-10,34282,
2012-01,34281,
2012-04,34208,
2012-07,34060,
2012-10,33826,
2013-01,33912,
2013-04,33933,
2013-07,33914,
2013-10,33874,
2014-01,33329,
2014-04,32919,
2014-07,32973,
