"",BBK01.CEH20I,BBK01.CEH20I_FLAGS
"",Currency and deposits debtor: All sectors                   creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:48,
1991-01,0.9,
1991-04,11.5,
1991-07,9.6,
1991-10,35.8,
1992-01,10.5,
1992-04,17.8,
1992-07,17.4,
1992-10,22.5,
1993-01,10.6,
1993-04,18.8,
1993-07,13.7,
1993-10,55.6,
1994-01,0.8,
1994-04,4.4,
1994-07,-3.0,
1994-10,2.0,
1995-01,-8.0,
1995-04,9.4,
1995-07,11.1,
1995-10,22.1,
1996-01,16.6,
1996-04,10.0,
1996-07,3.2,
1996-10,22.3,
1997-01,8.3,
1997-04,4.1,
1997-07,1.8,
1997-10,14.5,
1998-01,11.5,
1998-04,4.7,
1998-07,0.5,
1998-10,29.2,
1999-01,4.7,
1999-04,2.2,
1999-07,-7.4,
1999-10,11.2,
2000-01,-9.3,
2000-04,-18.8,
2000-07,-17.0,
2000-10,14.0,
2001-01,11.0,
2001-04,10.4,
2001-07,5.6,
2001-10,0.3,
2002-01,15.5,
2002-04,13.1,
2002-07,10.3,
2002-10,39.9,
2003-01,18.4,
2003-04,13.7,
2003-07,9.2,
2003-10,17.1,
2004-01,9.8,
2004-04,9.7,
2004-07,5.5,
2004-10,24.3,
2005-01,9.6,
2005-04,12.2,
2005-07,2.8,
2005-10,19.2,
2006-01,9.4,
2006-04,12.2,
2006-07,1.3,
2006-10,19.6,
2007-01,8.9,
2007-04,22.1,
2007-07,16.5,
2007-10,38.4,
2008-01,6.4,
2008-04,14.6,
2008-07,12.9,
2008-10,87.1,
2009-01,9.4,
2009-04,15.2,
2009-07,5.5,
2009-10,19.8,
2010-01,14.7,
2010-04,19.1,
2010-07,5.3,
2010-10,33.6,
2011-01,6.4,
2011-04,17.4,
2011-07,15.6,
2011-10,27.3,
2012-01,21.1,
2012-04,22.2,
2012-07,19.9,
2012-10,23.3,
2013-01,9.1,
2013-04,17.3,
2013-07,10.3,
2013-10,31.6,
2014-01,10.3,
