"",BBK01.CEFC0K1,BBK01.CEFC0K1_FLAGS
"",Financial derivatives  debtor: Total                                                  creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:26,
1999-01,1.1,
1999-04,1.2,
1999-07,1.2,
1999-10,1.2,
2000-01,1.2,
2000-04,1.2,
2000-07,1.4,
2000-10,1.5,
2001-01,1.6,
2001-04,1.7,
2001-07,1.9,
2001-10,2.0,
2002-01,2.1,
2002-04,2.2,
2002-07,2.4,
2002-10,2.5,
2003-01,2.7,
2003-04,2.8,
2003-07,2.7,
2003-10,2.5,
2004-01,2.9,
2004-04,2.7,
2004-07,2.7,
2004-10,2.7,
2005-01,2.9,
2005-04,2.9,
2005-07,3.0,
2005-10,3.0,
2006-01,3.1,
2006-04,3.2,
2006-07,3.1,
2006-10,3.1,
2007-01,3.4,
2007-04,3.6,
2007-07,3.7,
2007-10,3.9,
2008-01,4.3,
2008-04,4.1,
2008-07,4.5,
2008-10,4.8,
2009-01,5.0,
2009-04,5.0,
2009-07,4.7,
2009-10,4.7,
2010-01,4.8,
2010-04,4.8,
2010-07,5.1,
2010-10,4.9,
2011-01,4.7,
2011-04,5.2,
2011-07,5.4,
2011-10,5.4,
2012-01,6.2,
2012-04,6.3,
2012-07,6.3,
2012-10,6.1,
2013-01,6.2,
2013-04,7.1,
2013-07,7.2,
2013-10,6.0,
2014-01,6.5,
2014-04,6.3,
2014-07,6.7,
