"",BBAI3.Q.DE.N.V.LE.F41.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F41.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Loans up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:01,
2005-10,56365,
2006-01,54880,
2006-04,54478,
2006-07,50672,
2006-10,50035,
2007-01,49027,
2007-04,49275,
2007-07,47692,
2007-10,50736,
2008-01,48251,
2008-04,44803,
2008-07,44195,
2008-10,42859,
2009-01,41931,
2009-04,40217,
2009-07,39253,
2009-10,37822,
2010-01,39073,
2010-04,38631,
2010-07,38839,
2010-10,42543,
2011-01,43420,
2011-04,42336,
2011-07,42025,
2011-10,41549,
2012-01,42077,
2012-04,44640,
2012-07,46046,
2012-10,44788,
2013-01,45081,
2013-04,46572,
2013-07,44152,
2013-10,44370,
2014-01,44838,
2014-04,45153,
2014-07,45501,
