"",BBAI3.Q.DE.N.V.LE.F511.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:20,
2005-10,16359,
2006-01,20495,
2006-04,20578,
2006-07,21439,
2006-10,23277,
2007-01,26211,
2007-04,28988,
2007-07,26003,
2007-10,26382,
2008-01,23420,
2008-04,22398,
2008-07,20532,
2008-10,15159,
2009-01,12341,
2009-04,12529,
2009-07,12474,
2009-10,12894,
2010-01,13402,
2010-04,12388,
2010-07,14495,
2010-10,17517,
2011-01,17566,
2011-04,15216,
2011-07,12207,
2011-10,10887,
2012-01,10483,
2012-04,9539,
2012-07,9619,
2012-10,13199,
2013-01,8720,
2013-04,8468,
2013-07,7742,
2013-10,7614,
2014-01,8342,
2014-04,8737,
2014-07,8124,
