"",BBAI3.Q.DE.N.V.LE.F331.SV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.SV.A1.S.1.N.E.Z_FLAGS
"",Assets / Property and casualty insurance companies / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:42,
2005-10,319,
2006-01,103,
2006-04,104,
2006-07,111,
2006-10,165,
2007-01,324,
2007-04,379,
2007-07,173,
2007-10,261,
2008-01,347,
2008-04,261,
2008-07,248,
2008-10,315,
2009-01,244,
2009-04,267,
2009-07,174,
2009-10,254,
2010-01,210,
2010-04,267,
2010-07,254,
2010-10,338,
2011-01,206,
2011-04,184,
2011-07,280,
2011-10,259,
2012-01,352,
2012-04,368,
2012-07,435,
2012-10,413,
2013-01,518,
2013-04,345,
2013-07,311,
2013-10,328,
2014-01,456,
2014-04,330,
2014-07,282,
