"",BBAI3.Q.DE.N.V.LE.F34.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F34.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:25,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,5043,
2009-04,5042,
2009-07,4700,
2009-10,4728,
2010-01,4778,
2010-04,4845,
2010-07,5128,
2010-10,4936,
2011-01,4713,
2011-04,5153,
2011-07,5378,
2011-10,5366,
2012-01,6240,
2012-04,6273,
2012-07,6300,
2012-10,6138,
2013-01,6244,
2013-04,7074,
2013-07,7208,
2013-10,5979,
2014-01,6451,
2014-04,6322,
2014-07,6690,
