"",BBK01.CELF0C,BBK01.CELF0C_FLAGS
"",long-term loans                                            debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:11,
1999-01,-0.5,
1999-04,-0.2,
1999-07,0.0,
1999-10,1.9,
2000-01,0.6,
2000-04,0.9,
2000-07,0.9,
2000-10,0.7,
2001-01,0.0,
2001-04,0.4,
2001-07,-0.8,
2001-10,0.9,
2002-01,-0.2,
2002-04,0.1,
2002-07,-0.7,
2002-10,0.7,
2003-01,-0.2,
2003-04,-1.0,
2003-07,-0.7,
2003-10,-1.6,
2004-01,0.6,
2004-04,-1.3,
2004-07,-4.9,
2004-10,-2.4,
2005-01,1.2,
2005-04,-2.8,
2005-07,-5.1,
2005-10,-1.2,
2006-01,-0.9,
2006-04,-0.9,
2006-07,-3.7,
2006-10,-0.4,
2007-01,1.2,
2007-04,0.0,
2007-07,0.3,
2007-10,0.5,
2008-01,-1.1,
2008-04,-1.0,
2008-07,-1.2,
2008-10,-1.9,
2009-01,-0.7,
2009-04,2.4,
2009-07,-1.0,
2009-10,-1.8,
2010-01,-1.2,
2010-04,16.5,
2010-07,-1.6,
2010-10,35.4,
2011-01,-18.9,
2011-04,2.7,
2011-07,6.2,
2011-10,10.6,
2012-01,3.2,
2012-04,7.5,
2012-07,15.3,
2012-10,6.1,
2013-01,-5.5,
2013-04,11.9,
2013-07,-10.4,
2013-10,2.2,
2014-01,-1.7,
2014-04,6.5,
2014-07,-5.5,
