"",BBEX3.M.CLP.USD.CA.AC.A01,BBEX3.M.CLP.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Chile / USD 1 = CLP ... (middle),
unit,CLP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:44,
1999-01,489.00,
1999-02,502.00,
1999-03,483.75,
1999-04,484.25,
1999-05,490.75,
1999-06,518.75,
1999-07,512.75,
1999-08,516.75,
1999-09,530.05,
1999-10,547.55,
1999-11,545.25,
1999-12,529.80,
2000-01,517.85,
2000-02,502.50,
2000-03,503.50,
2000-04,515.25,
2000-05,524.25,
2000-06,539.75,
2000-07,555.55,
2000-08,562.05,
2000-09,563.75,
2000-10,570.35,
2000-11,578.75,
2000-12,573.75,
2001-01,561.35,
2001-02,574.45,
2001-03,595.55,
2001-04,600.25,
2001-05,610.95,
2001-06,631.75,
2001-07,670.25,
2001-08,664.50,
2001-09,694.10,
2001-10,712.50,
2001-11,684.50,
2001-12,660.95,
2002-01,678.25,
2002-02,672.00,
2002-03,656.50,
2002-04,646.50,
2002-05,655.55,
2002-06,688.50,
2002-07,707.20,
2002-08,710.00,
2002-09,748.50,
2002-10,726.25,
2002-11,704.00,
2002-12,720.75,
2003-01,734.34,
2003-02,753.54,
2003-03,727.36,
2003-04,705.32,
2003-05,710.12,
2003-06,697.23,
2003-07,705.64,
2003-08,699.39,
2003-09,665.13,
2003-10,628.10,
2003-11,624.51,
2003-12,599.42,
2004-01,596.78,
2004-02,594.32,
2004-03,623.21,
2004-04,624.84,
2004-05,632.32,
2004-06,636.59,
2004-07,638.37,
2004-08,628.95,
2004-09,606.96,
2004-10,615.20,
2004-11,588.18,
2004-12,559.83,
2005-01,586.18,
2005-02,577.52,
2005-03,586.45,
2005-04,582.87,
2005-05,580.20,
2005-06,578.92,
2005-07,563.44,
2005-08,545.02,
2005-09,533.69,
2005-10,543.72,
2005-11,518.96,
2005-12,514.21,
2006-01,524.78,
2006-02,517.76,
2006-03,527.70,
2006-04,518.62,
2006-05,531.11,
2006-06,547.31,
2006-07,539.41,
2006-08,537.77,
2006-09,538.22,
2006-10,525.99,
2006-11,529.29,
2006-12,534.43,
2007-01,545.18,
2007-02,538.42,
2007-03,539.37,
2007-04,527.08,
2007-05,527.52,
2007-06,527.46,
2007-07,523.08,
2007-08,524.63,
2007-09,511.72,
2007-10,494.64,
2007-11,508.47,
2007-12,495.82,
2008-01,465.30,
2008-02,458.02,
2008-03,439.09,
2008-04,459.16,
2008-05,479.66,
2008-06,520.14,
2008-07,502.78,
2008-08,516.47,
2008-09,552.47,
2008-10,664.96,
2008-11,659.43,
2008-12,629.11,
2009-01,612.43,
2009-02,595.76,
2009-03,582.10,
2009-04,588.62,
2009-05,564.64,
2009-06,529.07,
2009-07,541.90,
2009-08,550.64,
2009-09,546.07,
2009-10,531.74,
2009-11,495.84,
2009-12,506.43,
2010-01,531.75,
2010-02,529.69,
2010-03,526.29,
2010-04,520.99,
2010-05,529.23,
2010-06,543.09,
2010-07,522.36,
2010-08,499.26,
2010-09,485.23,
2010-10,491.76,
2010-11,486.39,
2010-12,468.37,
2011-01,483.32,
2011-02,475.63,
2011-03,482.08,
2011-04,460.04,
2011-05,467.31,
2011-06,471.13,
2011-07,455.91,
2011-08,465.66,
2011-09,515.14,
2011-10,492.04,
2011-11,524.25,
2011-12,521.46,
2012-01,488.99,
2012-02,477.41,
2012-03,489.76,
2012-04,483.41,
2012-05,517.91,
2012-06,509.73,
2012-07,482.83,
2012-08,481.17,
2012-09,470.48,
2012-10,480.03,
2012-11,479.42,
2012-12,478.60,
2013-01,471.40,
2013-02,473.30,
2013-03,472.54,
2013-04,471.54,
2013-05,492.80,
2013-06,503.86,
2013-07,514.34,
2013-08,511.65,
2013-09,502.97,
2013-10,508.58,
2013-11,528.19,
2013-12,523.76,
2014-01,547.22,
2014-02,563.32,
2014-03,550.53,
2014-04,560.56,
2014-05,548.04,
2014-06,550.60,
2014-07,570.51,
2014-08,593.28,
2014-09,601.66,
2014-10,576.65,
2014-11,598.94,
2014-12,607.38,
2015-01,626.48,
"","Source: Since 2003: Banco Central de Chile, Santiago de Chile. 1999 - 2002: Calculated on the basis of the buying and selling rates of the Dresdner Bank Lateinamerika AG, Hamburg.",
