"",BBAI3.Q.DE.N.V.LE.F612.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F612.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Net equity of households in pension fund reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:05,
2005-10,123568,
2006-01,126537,
2006-04,129702,
2006-07,131759,
2006-10,135495,
2007-01,138614,
2007-04,141612,
2007-07,144089,
2007-10,147740,
2008-01,150849,
2008-04,153814,
2008-07,156177,
2008-10,157985,
2009-01,161140,
2009-04,164240,
2009-07,165895,
2009-10,169306,
2010-01,173004,
2010-04,176321,
2010-07,178700,
2010-10,181981,
2011-01,186293,
2011-04,189826,
2011-07,192293,
2011-10,195289,
2012-01,199845,
2012-04,203529,
2012-07,205953,
2012-10,209794,
2013-01,215490,
2013-04,218818,
2013-07,220946,
2013-10,225137,
2014-01,228863,
2014-04,232246,
2014-07,234047,
