"",BBSF2.M.1.S.00000.HED01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.HED01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
1998-09,-,Nothing exists
1998-10,-,Nothing exists
1998-11,-,Nothing exists
1998-12,-,Nothing exists
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,-,Nothing exists
2001-02,-,Nothing exists
2001-03,-,Nothing exists
2001-04,-,Nothing exists
2001-05,-,Nothing exists
2001-06,-,Nothing exists
2001-07,-,Nothing exists
2001-08,-,Nothing exists
2001-09,-,Nothing exists
2001-10,-,Nothing exists
2001-11,-,Nothing exists
2001-12,-,Nothing exists
2002-01,-,Nothing exists
2002-02,-,Nothing exists
2002-03,-,Nothing exists
2002-04,-,Nothing exists
2002-05,-,Nothing exists
2002-06,-,Nothing exists
2002-07,-,Nothing exists
2002-08,-,Nothing exists
2002-09,-,Nothing exists
2002-10,-,Nothing exists
2002-11,-,Nothing exists
2002-12,-,Nothing exists
2003-01,-,Nothing exists
2003-02,-,Nothing exists
2003-03,-,Nothing exists
2003-04,-,Nothing exists
2003-05,-,Nothing exists
2003-06,-,Nothing exists
2003-07,-,Nothing exists
2003-08,-,Nothing exists
2003-09,-,Nothing exists
2003-10,-,Nothing exists
2003-11,-,Nothing exists
2003-12,-,Nothing exists
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,1010,
2004-06,1010,
2004-07,1010,
2004-08,1010,
2004-09,1010,
2004-10,1005,
2004-11,1005,
2004-12,1005,
2005-01,1005,
2005-02,1005,
2005-03,750,
2005-04,750,
2005-05,1251,
2005-06,1251,
2005-07,1342,
2005-08,1402,
2005-09,1402,
2005-10,1402,
2005-11,1402,
2005-12,1437,
2006-01,1438,
2006-02,1439,
2006-03,1439,
2006-04,1439,
2006-05,1439,
2006-06,1439,
2006-07,1439,
2006-08,1498,
2006-09,1498,
2006-10,1498,
2006-11,1498,
2006-12,799,
2007-01,797,
2007-02,797,
2007-03,797,
2007-04,2197,
2007-05,2197,
2007-06,2197,
2007-07,2197,
2007-08,2197,
2007-09,2639,
2007-10,2639,
2007-11,2639,
2007-12,1953,
2008-01,1953,
2008-02,1953,
2008-03,1953,
2008-04,1953,
2008-05,1893,
2008-06,2470,
2008-07,2470,
2008-08,2470,
2008-09,2470,
2008-10,2470,
2008-11,2516,
2008-12,2516,
2009-01,2516,
2009-02,2516,
2009-03,2516,
2009-04,2516,
2009-05,2516,
2009-06,2516,
2009-07,2516,
2009-08,2516,
2009-09,2516,
2009-10,2832,
2009-11,2849,
2009-12,3083,
2010-01,3083,
2010-02,3083,
2010-03,3083,
2010-04,3083,
2010-05,3407,
2010-06,3407,
2010-07,3407,
2010-08,3407,
2010-09,3407,
2010-10,3407,
2010-11,3130,
2010-12,3130,
2011-01,3130,
2011-02,3130,
2011-03,3130,
2011-04,3130,
2011-05,2957,
2011-06,2957,
2011-07,2957,
2011-08,2957,
2011-09,2957,
2011-10,3046,
2011-11,3046,
2011-12,3046,
2012-01,3046,
2012-02,3046,
2012-03,3174,
2012-04,3328,
2012-05,3328,
2012-06,3328,
2012-07,3196,
2012-08,3178,
2012-09,3178,
2012-10,3618,
2012-11,3178,
2012-12,3178,
2013-01,3178,
2013-02,3178,
2013-03,3178,
2013-04,3278,
2013-05,3278,
2013-06,3189,
2013-07,3189,
2013-08,3189,
2013-09,3189,
2013-10,3189,
2013-11,3113,
2013-12,3113,
2014-01,3113,
2014-02,3104,
2014-03,3104,
2014-04,3425,
2014-05,3425,
2014-06,3103,
2014-07,3103,
2014-08,3103,
2014-09,3103,
2014-10,3352,
2014-11,3342,
