"",BBAI3.Q.DE.N.V.LE.F41.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F41.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Loans up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:26,
2005-10,63579,
2006-01,61776,
2006-04,60260,
2006-07,58612,
2006-10,57204,
2007-01,54197,
2007-04,52073,
2007-07,49969,
2007-10,48067,
2008-01,47411,
2008-04,46680,
2008-07,46104,
2008-10,45363,
2009-01,45105,
2009-04,44588,
2009-07,44111,
2009-10,43603,
2010-01,43898,
2010-04,44077,
2010-07,44389,
2010-10,44616,
2011-01,44906,
2011-04,45066,
2011-07,45318,
2011-10,45217,
2012-01,45805,
2012-04,46528,
2012-07,47128,
2012-10,47659,
2013-01,48589,
2013-04,48997,
2013-07,48828,
2013-10,49436,
2014-01,47006,
2014-04,46044,
2014-07,45977,
