"",BBAI3.Q.DE.N.V.LE.F2M.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:22,
2005-10,486584,
2006-01,495111,
2006-04,502937,
2006-07,511623,
2006-10,523956,
2007-01,532203,
2007-04,541907,
2007-07,544779,
2007-10,558134,
2008-01,569701,
2008-04,572671,
2008-07,572075,
2008-10,574359,
2009-01,588401,
2009-04,586291,
2009-07,590577,
2009-10,588810,
2010-01,587679,
2010-04,582121,
2010-07,577068,
2010-10,570759,
2011-01,576150,
2011-04,578398,
2011-07,581538,
2011-10,576052,
2012-01,572206,
2012-04,568684,
2012-07,565791,
2012-10,559868,
2013-01,559667,
2013-04,553945,
2013-07,546675,
2013-10,539818,
2014-01,541106,
2014-04,538257,
2014-07,530042,
