"",BBK01.CEBW25,BBK01.CEBW25_FLAGS
"",Claims on insurance corporations debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:33,
1991-01,394.5,
1991-04,396.2,
1991-07,408.2,
1991-10,412.0,
1992-01,429.0,
1992-04,437.5,
1992-07,445.2,
1992-10,449.8,
1993-01,460.2,
1993-04,475.0,
1993-07,485.2,
1993-10,495.7,
1994-01,504.4,
1994-04,524.5,
1994-07,535.3,
1994-10,543.4,
1995-01,558.4,
1995-04,569.6,
1995-07,582.6,
1995-10,593.1,
1996-01,618.0,
1996-04,629.6,
1996-07,641.6,
1996-10,651.1,
1997-01,678.3,
1997-04,690.4,
1997-07,704.7,
1997-10,710.0,
1998-01,734.8,
1998-04,751.2,
1998-07,762.6,
1998-10,772.1,
1999-01,790.4,
1999-04,803.4,
1999-07,818.5,
1999-10,836.2,
2000-01,858.1,
2000-04,870.6,
2000-07,884.5,
2000-10,897.3,
2001-01,918.6,
2001-04,930.4,
2001-07,946.6,
2001-10,952.8,
2002-01,976.9,
2002-04,988.5,
2002-07,1002.5,
2002-10,992.1,
2003-01,1009.8,
2003-04,1021.6,
2003-07,1033.5,
2003-10,1049.9,
2004-01,1065.8,
2004-04,1075.0,
2004-07,1085.4,
2004-10,1104.6,
2005-01,1121.9,
2005-04,1132.2,
2005-07,1145.0,
2005-10,1185.3,
2006-01,1198.0,
2006-04,1211.3,
2006-07,1226.5,
2006-10,1245.3,
2007-01,1257.9,
2007-04,1268.2,
2007-07,1280.5,
2007-10,1308.5,
2008-01,1314.6,
2008-04,1320.8,
2008-07,1327.1,
2008-10,1332.5,
2009-01,1349.2,
2009-04,1367.0,
2009-07,1384.8,
2009-10,1403.0,
2010-01,1421.8,
2010-04,1441.2,
2010-07,1460.1,
2010-10,1481.8,
2011-01,1494.2,
2011-04,1506.1,
2011-07,1517.8,
2011-10,1532.1,
2012-01,1552.6,
2012-04,1570.5,
2012-07,1588.8,
2012-10,1612.3,
2013-01,1636.7,
2013-04,1656.0,
2013-07,1671.2,
2013-10,1689.6,
2014-01,1719.3,
