"",BBAI3.Q.DE.N.V.LE.F4.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:27,
2005-10,124619,
2006-01,128030,
2006-04,129728,
2006-07,131229,
2006-10,131115,
2007-01,131861,
2007-04,131604,
2007-07,133269,
2007-10,131839,
2008-01,130954,
2008-04,132490,
2008-07,132939,
2008-10,131029,
2009-01,136038,
2009-04,140265,
2009-07,141718,
2009-10,143412,
2010-01,146418,
2010-04,147670,
2010-07,147992,
2010-10,148197,
2011-01,148326,
2011-04,148338,
2011-07,148719,
2011-10,146483,
2012-01,148583,
2012-04,147293,
2012-07,148349,
2012-10,147856,
2013-01,148163,
2013-04,147817,
2013-07,149049,
2013-10,148487,
2014-01,149173,
2014-04,149900,
2014-07,149743,
