"",BBK01.CEH30B,BBK01.CEH30B_FLAGS
"",Securities other than shares debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:22,
1991-01,2.0,
1991-04,1.6,
1991-07,3.5,
1991-10,2.6,
1992-01,4.3,
1992-04,-0.3,
1992-07,5.7,
1992-10,3.4,
1993-01,0.7,
1993-04,-2.1,
1993-07,5.4,
1993-10,1.0,
1994-01,2.5,
1994-04,3.3,
1994-07,1.2,
1994-10,-5.8,
1995-01,2.7,
1995-04,0.2,
1995-07,0.7,
1995-10,0.0,
1996-01,-0.1,
1996-04,-1.1,
1996-07,-1.1,
1996-10,0.0,
1997-01,3.4,
1997-04,0.7,
1997-07,-1.0,
1997-10,-2.3,
1998-01,0.9,
1998-04,0.7,
1998-07,-1.1,
1998-10,-0.4,
1999-01,2.3,
1999-04,0.8,
1999-07,-2.9,
1999-10,-15.2,
2000-01,0.3,
2000-04,-1.8,
2000-07,-2.5,
2000-10,-6.2,
2001-01,0.6,
2001-04,1.6,
2001-07,-1.9,
2001-10,5.1,
2002-01,5.8,
2002-04,-1.5,
2002-07,2.8,
2002-10,-2.3,
2003-01,5.3,
2003-04,5.2,
2003-07,1.0,
2003-10,24.0,
2004-01,0.8,
2004-04,2.2,
2004-07,-1.9,
2004-10,6.4,
2005-01,1.2,
2005-04,5.3,
2005-07,3.3,
2005-10,9.7,
2006-01,-0.1,
2006-04,0.9,
2006-07,1.7,
2006-10,-1.4,
2007-01,4.7,
2007-04,2.6,
2007-07,-2.1,
2007-10,-0.9,
2008-01,2.3,
2008-04,-2.5,
2008-07,4.5,
2008-10,3.3,
2009-01,1.5,
2009-04,2.2,
2009-07,0.9,
2009-10,0.4,
2010-01,10.3,
2010-04,6.9,
2010-07,2.5,
2010-10,3.3,
2011-01,5.9,
2011-04,7.5,
2011-07,-2.7,
2011-10,4.6,
2012-01,20.0,
2012-04,10.5,
2012-07,19.0,
2012-10,11.7,
2013-01,7.8,
2013-04,2.2,
2013-07,8.1,
2013-10,10.0,
2014-01,10.7,
