"",BBAI3.Q.DE.N.V.LE.F29AAA.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAA.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Deposits up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:32,
2005-10,23820,
2006-01,24660,
2006-04,23126,
2006-07,23305,
2006-10,28633,
2007-01,27528,
2007-04,26952,
2007-07,23389,
2007-10,28440,
2008-01,32611,
2008-04,28951,
2008-07,26369,
2008-10,30352,
2009-01,35036,
2009-04,27925,
2009-07,29116,
2009-10,30095,
2010-01,28708,
2010-04,27273,
2010-07,24458,
2010-10,23957,
2011-01,26922,
2011-04,28285,
2011-07,31240,
2011-10,31074,
2012-01,31460,
2012-04,31060,
2012-07,30225,
2012-10,31833,
2013-01,31899,
2013-04,28802,
2013-07,26672,
2013-10,25677,
2014-01,31222,
2014-04,31318,
2014-07,28200,
