"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,4.353,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,4.356,
1983-01,.,No value available
1983-02,.,No value available
1983-03,.,No value available
1983-04,.,No value available
1983-05,.,No value available
1983-06,.,No value available
1983-07,.,No value available
1983-08,.,No value available
1983-09,.,No value available
1983-10,.,No value available
1983-11,.,No value available
1983-12,4.658,
1984-01,4.950,
1984-02,4.923,
1984-03,4.889,
1984-04,4.920,
1984-05,4.972,
1984-06,4.648,
1984-07,4.697,
1984-08,4.811,
1984-09,4.839,
1984-10,4.426,
1984-11,4.476,
1984-12,4.376,
1985-01,4.473,
1985-02,5.036,
1985-03,4.991,
1985-04,5.168,
1985-05,5.214,
1985-06,5.446,
1985-07,5.377,
1985-08,5.392,
1985-09,5.307,
1985-10,5.317,
1985-11,5.373,
1985-12,5.300,
1986-01,5.351,
1986-02,5.515,
1986-03,5.347,
1986-04,5.558,
1986-05,5.359,
1986-06,5.502,
1986-07,5.810,
1986-08,6.129,
1986-09,6.162,
1986-10,6.152,
1986-11,6.280,
1986-12,6.175,
1987-01,6.524,
1987-02,6.663,
1987-03,6.640,
1987-04,6.703,
1987-05,6.725,
1987-06,7.097,
1987-07,7.170,
1987-08,7.213,
1987-09,7.277,
1987-10,7.499,
1987-11,7.656,
1987-12,7.647,
1988-01,7.664,
1988-02,7.659,
1988-03,7.766,
1988-04,8.340,
1988-05,8.360,
1988-06,8.627,
1988-07,8.793,
1988-08,8.773,
1988-09,9.035,
1988-10,9.150,
1988-11,9.520,
1988-12,10.340,
1989-01,11.110,
1989-02,11.702,
1989-03,11.754,
1989-04,12.665,
1989-05,12.800,
1989-06,12.795,
1989-07,12.895,
1989-08,12.942,
1989-09,12.805,
1989-10,12.967,
1989-11,12.802,
1989-12,12.969,
1990-01,12.704,
1990-02,12.488,
1990-03,12.702,
1990-04,13.473,
1990-05,13.577,
1990-06,13.262,
1990-07,13.343,
1990-08,13.139,
1990-09,13.376,
1990-10,13.437,
1990-11,13.513,
1990-12,13.354,
1991-01,13.481,
1991-02,14.160,
1991-03,14.598,
1991-04,14.710,
1991-05,14.743,
1991-06,15.006,
1991-07,15.110,
1991-08,15.224,
1991-09,15.420,
1991-10,15.551,
1991-11,15.638,
1991-12,16.019,
1992-01,16.763,
1992-02,16.743,
1992-03,17.174,
1992-04,17.372,
1992-05,17.565,
1992-06,18.079,
1992-07,18.244,
1992-08,18.358,
1992-09,18.374,
1992-10,18.752,
1992-11,19.044,
1992-12,19.690,
1993-01,20.078,
1993-02,20.910,
1993-03,20.776,
1993-04,20.865,
1993-05,21.004,
1993-06,21.318,
1993-07,21.377,
1993-08,21.516,
1993-09,21.289,
1993-10,21.217,
1993-11,21.320,
1993-12,21.196,
1994-01,21.411,
1994-02,21.755,
1994-03,22.182,
1994-04,22.465,
1994-05,22.761,
1994-06,23.066,
1994-07,24.049,
1994-08,24.413,
1994-09,24.801,
1994-10,24.324,
1994-11,24.477,
1994-12,25.139,
1995-01,26.167,
1995-02,25.969,
1995-03,25.819,
1995-04,26.092,
1995-05,26.399,
1995-06,27.547,
1995-07,28.198,
1995-08,28.531,
1995-09,28.288,
1995-10,28.711,
1995-11,28.789,
1995-12,28.226,
1996-01,28.050,
1996-02,28.438,
1996-03,28.382,
1996-04,28.573,
1996-05,28.422,
1996-06,28.314,
1996-07,28.651,
1996-08,28.600,
1996-09,29.390,
1996-10,29.530,
1996-11,29.654,
1996-12,29.105,
1997-01,29.471,
1997-02,29.849,
1997-03,30.029,
1997-04,29.539,
1997-05,29.692,
1997-06,29.845,
1997-07,30.837,
1997-08,31.171,
1997-09,32.404,
1997-10,32.276,
1997-11,32.365,
1997-12,33.432,
1998-01,34.463,
1998-02,36.246,
1998-03,36.727,
1998-04,37.637,
1998-05,38.505,
1998-06,39.509,
1998-07,41.173,
1998-08,41.495,
1998-09,41.542,
1998-10,43.491,
1998-11,42.387,
1998-12,47.188,
1999-01,47.696,
1999-02,48.057,
1999-03,48.108,
1999-04,48.413,
1999-05,52.901,
1999-06,54.623,
1999-07,57.520,
1999-08,59.113,
1999-09,61.392,
1999-10,65.312,
1999-11,68.024,
1999-12,70.286,
2000-01,76.715,
2000-02,78.212,
2000-03,78.744,
2000-04,79.542,
2000-05,80.701,
2000-06,82.234,
2000-07,97.932,
2000-08,97.896,
2000-09,99.261,
2000-10,99.171,
2000-11,100.955,
2000-12,142.094,
2001-01,146.466,
2001-02,146.537,
2001-03,147.901,
2001-04,148.974,
2001-05,151.044,
2001-06,152.713,
2001-07,161.292,
2001-08,168.041,
2001-09,172.610,
2001-10,174.173,
2001-11,177.381,
2001-12,178.951,
2002-01,190.748,
2002-02,193.716,
2002-03,184.563,
2002-04,196.586,
2002-05,217.553,
2002-06,213.145,
2002-07,214.930,
2002-08,216.819,
2002-09,219.177,
2002-10,221.280,
2002-11,226.113,
2002-12,228.080,
2003-01,225.309,
2003-02,227.358,
2003-03,229.408,
2003-04,233.054,
2003-05,233.022,
2003-06,235.538,
2003-07,235.717,
2003-08,238.332,
2003-09,239.136,
2003-10,239.190,
2003-11,239.807,
2003-12,224.761,
2004-01,223.051,
2004-02,198.674,
2004-03,197.651,
2004-04,200.907,
2004-05,204.277,
2004-06,207.728,
2004-07,206.655,
2004-08,206.036,
2004-09,203.695,
2004-10,200.409,
2004-11,195.174,
2004-12,193.299,
2005-01,197.591,
2005-02,198.999,
2005-03,198.594,
2005-04,198.938,
2005-05,201.371,
2005-06,198.874,
2005-07,193.578,
2005-08,192.980,
2005-09,193.125,
2005-10,195.536,
2005-11,198.085,
2005-12,197.002,
2006-01,200.471,
2006-02,202.679,
2006-03,207.178,
2006-04,206.756,
2006-05,206.483,
2006-06,206.792,
2006-07,207.542,
2006-08,206.610,
2006-09,204.241,
2006-10,203.995,
2006-11,203.519,
2006-12,198.751,
2007-01,199.472,
2007-02,196.519,
2007-03,194.918,
2007-04,195.878,
2007-05,192.885,
2007-06,192.253,
2007-07,191.543,
2007-08,192.258,
2007-09,190.393,
2007-10,192.023,
2007-11,189.174,
2007-12,181.708,
2008-01,183.479,
2008-02,182.522,
2008-03,182.309,
2008-04,186.955,
2008-05,191.257,
2008-06,188.100,
2008-07,189.025,
2008-08,190.639,
2008-09,197.091,
2008-10,201.192,
2008-11,204.418,
2008-12,203.774,
2009-01,212.071,
2009-02,222.141,
2009-03,222.873,
2009-04,225.520,
2009-05,229.700,
2009-06,230.060,
2009-07,234.702,
2009-08,235.463,
2009-09,232.593,
2009-10,234.163,
2009-11,234.385,
2009-12,237.826,
2010-01,235.658,
2010-02,236.757,
2010-03,240.395,
2010-04,242.416,
2010-05,241.884,
2010-06,242.525,
2010-07,244.834,
2010-08,245.903,
2010-09,245.857,
2010-10,245.520,
2010-11,247.897,
2010-12,256.309,
2011-01,258.410,
2011-02,258.921,
2011-03,263.500,
2011-04,266.276,
2011-05,269.506,
2011-06,269.036,
2011-07,271.164,
2011-08,271.088,
2011-09,270.988,
2011-10,272.272,
2011-11,266.382,
2011-12,266.402,
2012-01,270.027,
2012-02,270.077,
2012-03,274.595,
2012-04,278.500,
2012-05,281.397,
2012-06,286.459,
2012-07,286.180,
2012-08,290.055,
2012-09,291.169,
2012-10,287.747,
2012-11,291.612,
2012-12,291.250,
2013-01,294.305,
2013-02,293.476,
2013-03,298.718,
2013-04,314.708,
2013-05,314.040,
2013-06,314.579,
2013-07,310.424,
2013-08,313.036,
2013-09,315.624,
2013-10,324.440,
2013-11,321.147,
2013-12,322.385,
2014-01,321.787,
2014-02,325.077,
2014-03,327.012,
2014-04,327.589,
2014-05,331.328,
2014-06,334.764,
2014-07,335.628,
2014-08,335.225,
2014-09,334.611,
2014-10,335.609,
2014-11,337.056,
2014-12,332.699,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
