"",BBK01.CEHXBN,BBK01.CEHXBN_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims debtor: All sectors                 creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:32,
1991-01,-1.2,
1991-04,0.3,
1991-07,0.9,
1991-10,0.9,
1992-01,-1.3,
1992-04,1.4,
1992-07,1.5,
1992-10,0.6,
1993-01,-0.8,
1993-04,1.2,
1993-07,1.8,
1993-10,1.3,
1994-01,1.5,
1994-04,0.7,
1994-07,2.1,
1994-10,-1.1,
1995-01,-2.1,
1995-04,1.9,
1995-07,2.8,
1995-10,1.0,
1996-01,-2.0,
1996-04,1.2,
1996-07,2.0,
1996-10,-0.9,
1997-01,3.6,
1997-04,2.0,
1997-07,2.6,
1997-10,-1.4,
1998-01,0.3,
1998-04,5.1,
1998-07,2.1,
1998-10,-1.7,
1999-01,1.0,
1999-04,0.5,
1999-07,0.5,
1999-10,1.5,
2000-01,1.2,
2000-04,0.4,
2000-07,0.5,
2000-10,2.7,
2001-01,1.2,
2001-04,0.5,
2001-07,1.1,
2001-10,4.5,
2002-01,2.3,
2002-04,0.6,
2002-07,0.8,
2002-10,0.8,
2003-01,0.8,
2003-04,0.8,
2003-07,0.5,
2003-10,9.1,
2004-01,1.1,
2004-04,0.1,
2004-07,0.6,
2004-10,3.5,
2005-01,1.6,
2005-04,0.4,
2005-07,1.3,
2005-10,12.7,
2006-01,-2.2,
2006-04,-2.2,
2006-07,-2.3,
2006-10,3.7,
2007-01,-2.2,
2007-04,-2.3,
2007-07,-2.3,
2007-10,-1.1,
2008-01,0.3,
2008-04,0.1,
2008-07,0.0,
2008-10,-0.2,
2009-01,0.4,
2009-04,0.2,
2009-07,0.1,
2009-10,-0.4,
2010-01,1.4,
2010-04,1.3,
2010-07,1.3,
2010-10,2.0,
2011-01,1.4,
2011-04,1.4,
2011-07,1.4,
2011-10,2.5,
2012-01,0.6,
2012-04,0.5,
2012-07,0.4,
2012-10,0.5,
2013-01,-2.3,
2013-04,0.9,
2013-07,1.4,
2013-10,0.9,
2014-01,4.0,
