"",BBK01.CELE20,BBK01.CELE20_FLAGS
"",short-term loans                                              debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:57,
1999-01,0.7,
1999-04,13.6,
1999-07,-8.2,
1999-10,8.2,
2000-01,28.5,
2000-04,15.5,
2000-07,-7.3,
2000-10,-1.8,
2001-01,20.6,
2001-04,-2.9,
2001-07,6.2,
2001-10,-13.6,
2002-01,-3.6,
2002-04,-4.8,
2002-07,2.7,
2002-10,-2.9,
2003-01,20.1,
2003-04,0.0,
2003-07,2.5,
2003-10,-10.1,
2004-01,12.6,
2004-04,-8.7,
2004-07,-0.6,
2004-10,-1.3,
2005-01,0.0,
2005-04,2.2,
2005-07,19.7,
2005-10,-8.4,
2006-01,31.5,
2006-04,10.5,
2006-07,8.3,
2006-10,-22.2,
2007-01,40.8,
2007-04,21.0,
2007-07,4.6,
2007-10,-16.5,
2008-01,32.7,
2008-04,12.3,
2008-07,-0.6,
2008-10,5.2,
2009-01,15.2,
2009-04,5.2,
2009-07,-18.1,
2009-10,11.7,
2010-01,-28.7,
2010-04,36.6,
2010-07,3.5,
2010-10,3.4,
2011-01,3.6,
2011-04,46.8,
2011-07,60.7,
2011-10,-29.0,
2012-01,32.4,
2012-04,39.5,
2012-07,-13.0,
2012-10,-10.5,
2013-01,32.6,
2013-04,53.6,
2013-07,-42.4,
2013-10,-24.0,
2014-01,21.6,
2014-04,6.9,
2014-07,3.9,
