"",BBEX3.M.NZD.USD.CM.AA.A01,BBEX3.M.NZD.USD.CM.AA.A01_FLAGS
"",Exchange rates for the US dollar in New Zealand / NZD 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:55,
1990-01,0.6015,
1990-02,0.5935,
1990-03,0.5840,
1990-04,0.5800,
1990-05,0.5815,
1990-06,0.5925,
1990-07,0.5965,
1990-08,0.6215,
1990-09,0.6210,
1990-10,0.6205,
1990-11,0.6135,
1990-12,0.5925,
1991-01,0.6055,
1991-02,0.6046,
1991-03,0.5910,
1991-04,0.5930,
1991-05,0.5865,
1991-06,0.5830,
1991-07,0.5765,
1991-08,0.5795,
1991-09,0.5760,
1991-10,0.5640,
1991-11,0.5675,
1991-12,0.5455,
1992-01,0.5455,
1992-02,0.5525,
1992-03,0.5535,
1992-04,0.5450,
1992-05,0.5415,
1992-06,0.5505,
1992-07,0.5530,
1992-08,0.5455,
1992-09,0.5430,
1992-10,0.5335,
1992-11,0.5215,
1992-12,0.5185,
1993-01,0.5230,
1993-02,0.5275,
1993-03,0.5395,
1993-04,0.5475,
1993-05,0.5475,
1993-06,0.5435,
1993-07,0.5577,
1993-08,0.5562,
1993-09,0.5555,
1993-10,0.5585,
1993-11,0.5495,
1993-12,0.5630,
1994-01,0.5725,
1994-02,0.5825,
1994-03,0.5665,
1994-04,0.5810,
1994-05,0.5940,
1994-06,0.5995,
1994-07,0.6065,
1994-08,0.6075,
1994-09,0.6080,
1994-10,0.6195,
1994-11,0.6285,
1994-12,0.6475,
1995-01,0.6450,
1995-02,0.6405,
1995-03,0.6550,
1995-04,0.6795,
1995-05,0.6720,
1995-06,0.6740,
1995-07,0.6795,
1995-08,0.6559,
1995-09,0.6624,
1995-10,0.6665,
1995-11,0.6600,
1995-12,0.6590,
1996-01,0.6731,
1996-02,0.6757,
1996-03,0.6839,
1996-04,0.6919,
1996-05,0.6874,
1996-06,0.6904,
1996-07,0.6990,
1996-08,0.6978,
1996-09,0.7054,
1996-10,0.7114,
1996-11,0.7153,
1996-12,0.7123,
1997-01,0.6961,
1997-02,0.6976,
1997-03,0.7012,
1997-04,0.7007,
1997-05,0.6966,
1997-06,0.6860,
1997-07,0.6563,
1997-08,0.6487,
1997-09,0.6432,
1997-10,0.6316,
1997-11,0.6216,
1997-12,0.5877,
1998-01,0.5914,
1998-02,0.5835,
1998-03,0.5579,
1998-04,0.5599,
1998-05,0.5386,
1998-06,0.5186,
1998-07,0.5187,
1998-08,0.4932,
1998-09,0.5024,
1998-10,0.5332,
1998-11,0.5342,
1998-12,0.5314,
1999-01,0.5403,
1999-02,0.5307,
1999-03,0.5362,
1999-04,0.5625,
1999-05,0.5418,
1999-06,0.5342,
1999-07,0.5342,
1999-08,0.5181,
1999-09,0.5211,
1999-10,0.5160,
1999-11,0.5171,
1999-12,0.5276,
2000-01,0.4979,
2000-02,0.4888,
2000-03,0.5010,
2000-04,0.4923,
2000-05,0.4641,
2000-06,0.4727,
2000-07,0.4616,
2000-08,0.4333,
2000-09,0.4172,
2000-10,0.4076,
2000-11,0.4081,
2000-12,0.4444,
2001-01,0.4464,
2001-02,0.4368,
2001-03,0.4136,
2001-04,0.4162,
2001-05,0.4207,
2001-06,0.4116,
2001-07,0.4167,
2001-08,0.4459,
2001-09,0.4066,
2001-10,0.4187,
2001-11,0.4172,
2001-12,0.4196,
2002-01,0.4202,
2002-02,0.4242,
2002-03,0.4404,
2002-04,0.4525,
2002-05,0.4807,
2002-06,0.4933,
2002-07,0.4732,
2002-08,0.4742,
2002-09,0.4762,
2002-10,0.4888,
2002-11,0.5009,
2002-12,0.5302,
2003-01,0.5508,
2003-02,0.5675,
