"",BBFN1.M.DE.N.1.A.US.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.US.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1983-02,3.112,
1983-03,3.501,
1983-04,3.518,
1983-05,3.611,
1983-06,3.555,
1983-07,4.008,
1983-08,3.929,
1983-09,3.973,
1983-10,3.365,
1983-11,3.542,
1983-12,3.265,
1984-01,3.499,
1984-02,3.509,
1984-03,3.479,
1984-04,3.786,
1984-05,3.821,
1984-06,4.098,
1984-07,4.445,
1984-08,4.383,
1984-09,5.184,
1984-10,4.436,
1984-11,4.807,
1984-12,4.891,
1985-01,5.394,
1985-02,5.561,
1985-03,6.281,
1985-04,6.275,
1985-05,6.739,
1985-06,6.270,
1985-07,6.424,
1985-08,7.456,
1985-09,7.868,
1985-10,6.235,
1985-11,6.590,
1985-12,6.448,
1986-01,6.569,
1986-02,6.556,
1986-03,6.785,
1986-04,7.059,
1986-05,7.546,
1986-06,7.561,
1986-07,7.481,
1986-08,7.897,
1986-09,7.911,
1986-10,7.455,
1986-11,7.433,
1986-12,6.353,
1987-01,7.140,
1987-02,7.664,
1987-03,7.767,
1987-04,7.775,
1987-05,7.927,
1987-06,7.432,
1987-07,7.863,
1987-08,7.888,
1987-09,7.993,
1987-10,7.733,
1987-11,7.604,
1987-12,7.519,
1988-01,7.891,
1988-02,7.952,
1988-03,8.044,
1988-04,7.996,
1988-05,8.073,
1988-06,8.064,
1988-07,8.107,
1988-08,8.369,
1988-09,8.804,
1988-10,8.712,
1988-11,8.205,
1988-12,8.082,
1989-01,7.951,
1989-02,7.655,
1989-03,8.166,
1989-04,8.725,
1989-05,8.943,
1989-06,9.393,
1989-07,9.028,
1989-08,9.455,
1989-09,9.629,
1989-10,9.681,
1989-11,10.394,
1989-12,11.090,
1990-01,10.694,
1990-02,10.573,
1990-03,10.441,
1990-04,10.891,
1990-05,10.776,
1990-06,9.469,
1990-07,9.372,
1990-08,9.607,
1990-09,9.954,
1990-10,10.054,
1990-11,9.853,
1990-12,10.298,
1991-01,9.618,
1991-02,10.168,
1991-03,11.004,
1991-04,11.140,
1991-05,11.176,
1991-06,11.464,
1991-07,10.749,
1991-08,10.314,
1991-09,11.012,
1991-10,10.397,
1991-11,10.946,
1991-12,9.709,
1992-01,9.466,
1992-02,9.556,
1992-03,9.315,
1992-04,9.216,
1992-05,9.109,
1992-06,8.753,
1992-07,8.781,
1992-08,9.149,
1992-09,9.299,
1992-10,9.355,
1992-11,9.606,
1992-12,9.811,
1993-01,8.940,
1993-02,9.499,
1993-03,9.434,
1993-04,9.476,
1993-05,9.447,
1993-06,10.348,
1993-07,9.862,
1993-08,9.952,
1993-09,10.382,
1993-10,10.060,
1993-11,10.199,
1993-12,10.924,
1994-01,10.188,
1994-02,9.187,
1994-03,10.319,
1994-04,10.856,
1994-05,11.280,
1994-06,11.188,
1994-07,11.179,
1994-08,10.991,
1994-09,12.222,
1994-10,12.150,
1994-11,12.483,
1994-12,12.251,
1995-01,11.449,
1995-02,11.839,
1995-03,11.663,
1995-04,11.331,
1995-05,11.775,
1995-06,12.268,
1995-07,12.706,
1995-08,12.982,
1995-09,13.411,
1995-10,13.727,
1995-11,13.966,
1995-12,12.731,
1996-01,13.037,
1996-02,13.850,
1996-03,14.451,
1996-04,14.318,
1996-05,17.164,
1996-06,15.675,
1996-07,13.414,
1996-08,13.153,
1996-09,14.748,
1996-10,14.735,
1996-11,15.872,
1996-12,17.034,
1997-01,23.452,
1997-02,25.814,
1997-03,29.482,
1997-04,29.807,
1997-05,27.652,
1997-06,26.888,
1997-07,23.264,
1997-08,19.412,
1997-09,21.733,
1997-10,16.837,
1997-11,18.522,
1997-12,19.655,
1998-01,18.798,
1998-02,22.768,
1998-03,31.326,
1998-04,27.971,
1998-05,29.439,
1998-06,25.015,
1998-07,21.384,
1998-08,20.353,
1998-09,27.614,
1998-10,20.997,
1998-11,25.336,
1998-12,26.052,
1999-01,27.242,
1999-02,31.374,
1999-03,35.396,
1999-04,41.385,
1999-05,47.510,
1999-06,46.096,
1999-07,36.741,
1999-08,35.348,
1999-09,34.209,
1999-10,34.213,
1999-11,37.554,
1999-12,37.689,
2000-01,37.361,
2000-02,41.222,
2000-03,51.923,
2000-04,53.356,
2000-05,61.943,
2000-06,57.442,
2000-07,52.144,
2000-08,47.986,
2000-09,46.612,
2000-10,42.338,
2000-11,45.283,
2000-12,46.112,
2001-01,45.743,
2001-02,50.629,
2001-03,67.978,
2001-04,64.089,
2001-05,75.650,
2001-06,71.239,
2001-07,64.032,
2001-08,60.071,
2001-09,66.009,
2001-10,66.044,
2001-11,59.552,
2001-12,62.080,
2002-01,56.890,
2002-02,61.382,
2002-03,58.742,
2002-04,55.025,
2002-05,46.888,
2002-06,46.247,
2002-07,44.034,
2002-08,44.729,
2002-09,46.624,
2002-10,45.342,
2002-11,44.650,
2002-12,38.263,
2003-01,40.848,
2003-02,42.769,
2003-03,41.125,
2003-04,39.720,
2003-05,38.027,
2003-06,37.139,
2003-07,37.008,
2003-08,37.666,
2003-09,40.057,
2003-10,37.513,
2003-11,39.600,
2003-12,39.714,
2004-01,41.081,
2004-02,37.138,
2004-03,36.431,
2004-04,35.225,
2004-05,35.725,
2004-06,37.195,
2004-07,36.729,
2004-08,36.895,
2004-09,39.201,
2004-10,36.278,
2004-11,36.504,
2004-12,35.477,
2005-01,36.130,
2005-02,36.723,
2005-03,39.179,
2005-04,37.495,
2005-05,39.575,
2005-06,40.466,
2005-07,39.207,
2005-08,37.107,
2005-09,41.367,
2005-10,40.193,
2005-11,42.068,
2005-12,43.607,
2006-01,42.009,
2006-02,43.602,
2006-03,45.504,
2006-04,44.370,
2006-05,45.406,
2006-06,44.098,
2006-07,43.857,
2006-08,42.356,
2006-09,39.479,
2006-10,41.876,
2006-11,39.267,
2006-12,38.781,
2007-01,33.318,
2007-02,33.155,
2007-03,33.675,
2007-04,34.751,
2007-05,34.571,
2007-06,34.223,
2007-07,36.310,
2007-08,33.209,
2007-09,35.257,
2007-10,34.958,
2007-11,33.869,
2007-12,37.632,
2008-01,29.986,
2008-02,29.562,
2008-03,30.896,
2008-04,32.429,
2008-05,31.680,
2008-06,31.675,
2008-07,32.328,
2008-08,31.826,
2008-09,35.157,
2008-10,37.805,
2008-11,38.336,
2008-12,34.416,
2009-01,35.390,
2009-02,35.477,
2009-03,35.428,
2009-04,35.007,
2009-05,32.940,
2009-06,32.193,
2009-07,31.376,
2009-08,32.402,
2009-09,32.147,
2009-10,32.861,
2009-11,32.356,
2009-12,31.966,
2010-01,32.910,
2010-02,31.337,
2010-03,36.413,
2010-04,34.107,
2010-05,37.854,
2010-06,40.927,
2010-07,39.977,
2010-08,39.135,
2010-09,39.559,
2010-10,38.172,
2010-11,39.001,
2010-12,37.098,
2011-01,36.867,
2011-02,35.744,
2011-03,37.293,
2011-04,36.407,
2011-05,35.190,
2011-06,34.791,
2011-07,32.958,
2011-08,32.965,
2011-09,34.316,
2011-10,30.500,
2011-11,31.023,
2011-12,35.325,
2012-01,31.447,
2012-02,30.824,
2012-03,32.792,
2012-04,31.148,
2012-05,31.464,
2012-06,34.815,
2012-07,32.889,
2012-08,31.368,
2012-09,32.773,
2012-10,31.715,
2012-11,32.392,
2012-12,32.737,
2013-01,31.727,
2013-02,31.459,
2013-03,32.775,
2013-04,40.972,
2013-05,41.483,
2013-06,43.648,
2013-07,39.927,
2013-08,42.782,
2013-09,45.136,
2013-10,36.128,
2013-11,35.245,
2013-12,36.674,
2014-01,34.312,
2014-02,34.250,
2014-03,35.202,
2014-04,34.264,
2014-05,36.247,
2014-06,34.945,
2014-07,34.845,
2014-08,34.935,
2014-09,38.841,
2014-10,35.911,
2014-11,38.070,
2014-12,39.254,
