"",BBAI3.Q.DE.N.V.LE.F52M.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:22,
2005-10,171,
2006-01,188,
2006-04,143,
2006-07,131,
2006-10,156,
2007-01,125,
2007-04,235,
2007-07,900,
2007-10,999,
2008-01,1000,
2008-04,1009,
2008-07,1072,
2008-10,754,
2009-01,503,
2009-04,501,
2009-07,456,
2009-10,514,
2010-01,779,
2010-04,400,
2010-07,383,
2010-10,315,
2011-01,350,
2011-04,321,
2011-07,407,
2011-10,373,
2012-01,292,
2012-04,302,
2012-07,243,
2012-10,1520,
2013-01,285,
2013-04,293,
2013-07,339,
2013-10,511,
2014-01,627,
2014-04,620,
2014-07,628,
