"",BBK01.WXIF04,BBK01.WXIF04_FLAGS
"",,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:49,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,2,
2010-01,2,
2010-02,2,
2010-03,2,
2010-04,2,
2010-05,2,
2010-06,2,
2010-07,3,
2010-08,3,
2010-09,3,
2010-10,3,
2010-11,3,
2010-12,3,
2011-01,3,
2011-02,3,
2011-03,3,
2011-04,3,
2011-05,3,
2011-06,3,
2011-07,3,
2011-08,3,
2011-09,3,
2011-10,3,
2011-11,3,
2011-12,3,
2012-01,3,
2012-02,3,
2012-03,3,
2012-04,3,
2012-05,3,
2012-06,3,
2012-07,3,
2012-08,3,
2012-09,3,
2012-10,3,
2012-11,3,
2012-12,3,
2013-01,3,
2013-02,3,
2013-03,3,
2013-04,3,
2013-05,3,
2013-06,3,
2013-07,3,
2013-08,3,
2013-09,3,
2013-10,3,
2013-11,3,
2013-12,3,
2014-01,3,
2014-02,3,
2014-03,3,
2014-04,3,
2014-05,3,
2014-06,3,
2014-07,3,
2014-08,3,
2014-09,3,
2014-10,3,
2014-11,3,
