"",BBK01.CEFJK0,BBK01.CEFJK0_FLAGS
"",Unlisted shares  debtor: Insurance corporations                                                                                                 creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:39,
1999-01,87.4,
1999-04,84.3,
1999-07,84.0,
1999-10,111.6,
2000-01,158.0,
2000-04,127.0,
2000-07,145.4,
2000-10,119.6,
2001-01,125.8,
2001-04,129.3,
2001-07,81.4,
2001-10,97.9,
2002-01,116.5,
2002-04,105.0,
2002-07,51.8,
2002-10,36.0,
2003-01,32.8,
2003-04,45.6,
2003-07,48.8,
2003-10,56.4,
2004-01,53.8,
2004-04,53.5,
2004-07,49.1,
2004-10,56.8,
2005-01,59.9,
2005-04,57.4,
2005-07,64.5,
2005-10,77.4,
2006-01,74.9,
2006-04,69.3,
2006-07,77.8,
2006-10,81.1,
2007-01,85.0,
2007-04,90.6,
2007-07,97.2,
2007-10,93.6,
2008-01,83.9,
2008-04,77.8,
2008-07,70.2,
2008-10,64.1,
2009-01,51.7,
2009-04,51.8,
2009-07,62.8,
2009-10,63.7,
2010-01,68.7,
2010-04,60.4,
2010-07,58.9,
2010-10,63.1,
2011-01,68.2,
2011-04,64.4,
2011-07,50.6,
2011-10,52.2,
2012-01,62.9,
2012-04,57.4,
2012-07,65.8,
2012-10,74.1,
2013-01,80.5,
2013-04,82.1,
2013-07,84.4,
2013-10,94.0,
2014-01,90.9,
2014-04,90.8,
2014-07,92.8,
