"",BBK01.CEHR0B,BBK01.CEHR0B_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:20,
1991-01,2.7,
1991-04,2.3,
1991-07,2.5,
1991-10,1.9,
1992-01,3.3,
1992-04,2.0,
1992-07,1.5,
1992-10,1.9,
1993-01,3.8,
1993-04,3.9,
1993-07,3.7,
1993-10,5.1,
1994-01,9.5,
1994-04,5.9,
1994-07,6.5,
1994-10,5.3,
1995-01,8.1,
1995-04,7.1,
1995-07,6.7,
1995-10,6.2,
1996-01,9.4,
1996-04,8.0,
1996-07,6.2,
1996-10,5.8,
1997-01,6.9,
1997-04,4.4,
1997-07,2.9,
1997-10,4.8,
1998-01,4.2,
1998-04,3.8,
1998-07,3.7,
1998-10,1.4,
1999-01,5.7,
1999-04,5.1,
1999-07,9.3,
1999-10,7.7,
2000-01,9.0,
2000-04,6.6,
2000-07,1.9,
2000-10,1.3,
2001-01,4.3,
2001-04,5.1,
2001-07,1.8,
2001-10,1.3,
2002-01,7.1,
2002-04,-0.3,
2002-07,0.0,
2002-10,4.9,
2003-01,6.3,
2003-04,-0.2,
2003-07,9.1,
2003-10,0.9,
2004-01,6.3,
2004-04,13.6,
2004-07,3.6,
2004-10,9.6,
2005-01,10.3,
2005-04,3.6,
2005-07,4.1,
2005-10,3.1,
2006-01,7.4,
2006-04,9.9,
2006-07,8.5,
2006-10,5.5,
2007-01,9.4,
2007-04,10.3,
2007-07,7.6,
2007-10,6.6,
2008-01,6.4,
2008-04,6.7,
2008-07,1.5,
2008-10,-0.5,
2009-01,8.0,
2009-04,6.8,
2009-07,2.6,
2009-10,-3.6,
2010-01,0.6,
2010-04,-3.4,
2010-07,-1.3,
2010-10,-1.9,
2011-01,1.4,
2011-04,0.3,
2011-07,-1.1,
2011-10,-4.2,
2012-01,-3.6,
2012-04,-2.6,
2012-07,-1.7,
2012-10,-7.9,
2013-01,-0.6,
2013-04,-1.5,
2013-07,-4.9,
2013-10,-5.3,
2014-01,-6.4,
