"",BBK01.TZ4952,BBK01.TZ4952_FLAGS
"","Monetary aggregate M2 (from January 2002, excluding currency in circulation) / German contribution / Financial transactions (flows) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:07,
1999-01,20.3,
1999-02,3.1,
1999-03,7.3,
1999-04,6.4,
1999-05,9.0,
1999-06,10.4,
1999-07,1.7,
1999-08,3.1,
1999-09,2.9,
1999-10,2.4,
1999-11,8.1,
1999-12,-11.2,
2000-01,9.5,
2000-02,4.6,
2000-03,-1.7,
2000-04,1.9,
2000-05,-6.4,
2000-06,-6.0,
2000-07,-6.5,
2000-08,-3.0,
2000-09,-1.1,
2000-10,-2.4,
2000-11,2.9,
2000-12,-2.5,
2001-01,8.9,
2001-02,11.1,
2001-03,7.5,
2001-04,6.9,
2001-05,1.8,
2001-06,12.8,
2001-07,0.9,
2001-08,6.0,
2001-09,13.3,
2001-10,1.5,
2001-11,-0.8,
2001-12,-15.0,
2002-01,-64.0,
2002-02,-2.7,
2002-03,4.2,
2002-04,1.0,
2002-05,9.1,
2002-06,12.8,
2002-07,3.1,
2002-08,0.2,
2002-09,3.7,
2002-10,10.9,
2002-11,10.3,
2002-12,15.1,
2003-01,-3.2,
2003-02,13.0,
2003-03,6.0,
2003-04,5.0,
2003-05,10.4,
2003-06,11.2,
2003-07,-7.0,
2003-08,9.6,
2003-09,-5.6,
2003-10,3.0,
2003-11,8.1,
2003-12,-3.5,
2004-01,3.1,
2004-02,6.7,
2004-03,3.5,
2004-04,-0.3,
2004-05,2.8,
2004-06,-2.9,
2004-07,1.7,
2004-08,5.7,
2004-09,5.5,
2004-10,2.1,
2004-11,3.8,
2004-12,-1.7,
2005-01,16.2,
2005-02,4.7,
2005-03,-3.9,
2005-04,7.7,
2005-05,8.7,
2005-06,5.7,
2005-07,8.4,
2005-08,5.0,
2005-09,2.9,
2005-10,7.2,
2005-11,-1.6,
2005-12,3.6,
2006-01,10.4,
2006-02,2.2,
2006-03,9.8,
2006-04,18.2,
2006-05,-1.3,
2006-06,7.8,
2006-07,-2.2,
2006-08,0.4,
2006-09,3.2,
2006-10,-0.8,
2006-11,13.6,
2006-12,16.5,
2007-01,6.7,
2007-02,4.8,
2007-03,12.0,
2007-04,8.1,
2007-05,7.0,
2007-06,20.4,
2007-07,12.3,
2007-08,15.9,
2007-09,22.1,
2007-10,1.1,
2007-11,23.3,
2007-12,31.3,
2008-01,9.1,
2008-02,20.6,
2008-03,12.4,
2008-04,4.6,
2008-05,13.5,
2008-06,5.5,
2008-07,12.0,
2008-08,10.3,
2008-09,10.2,
2008-10,41.1,
2008-11,6.8,
2008-12,-6.5,
2009-01,33.3,
2009-02,7.0,
2009-03,-13.5,
2009-04,8.7,
2009-05,-12.2,
2009-06,-8.3,
2009-07,-6.9,
2009-08,-2.2,
2009-09,-4.9,
2009-10,0.6,
2009-11,-5.2,
2009-12,-6.2,
2010-01,19.9,
2010-02,-0.5,
2010-03,-7.5,
2010-04,15.6,
2010-05,6.7,
2010-06,3.0,
2010-07,6.4,
2010-08,6.3,
2010-09,4.2,
2010-10,3.0,
2010-11,7.7,
2010-12,8.3,
2011-01,24.3,
2011-02,-4.4,
2011-03,14.5,
2011-04,10.3,
2011-05,7.8,
2011-06,9.6,
2011-07,11.7,
2011-08,13.4,
2011-09,16.8,
2011-10,2.3,
2011-11,7.7,
2011-12,9.3,
2012-01,18.1,
2012-02,13.6,
2012-03,15.9,
2012-04,4.9,
2012-05,17.8,
2012-06,30.5,
2012-07,23.4,
2012-08,5.0,
2012-09,10.0,
2012-10,36.7,
2012-11,2.3,
2012-12,-20.7,
2013-01,5.0,
2013-02,-1.4,
2013-03,1.1,
2013-04,18.6,
2013-05,4.4,
2013-06,0.8,
2013-07,8.1,
2013-08,8.7,
2013-09,5.3,
2013-10,15.0,
2013-11,-5.8,
2013-12,4.8,
2014-01,15.4,
2014-02,16.9,
2014-03,4.9,
2014-04,19.3,
2014-05,16.2,
2014-06,-2.4,
2014-07,6.5,
2014-08,10.8,
2014-09,1.0,
2014-10,2.1,
2014-11,12.9,
2014-12,-1.6,Provisional value
2015-01,36.5,
