"",BBK01.CELJ0K,BBK01.CELJ0K_FLAGS
"",Unlisted Shares debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:06,
1999-01,0.1,
1999-04,0.0,
1999-07,0.1,
1999-10,0.0,
2000-01,0.1,
2000-04,0.1,
2000-07,0.1,
2000-10,-0.1,
2001-01,0.3,
2001-04,0.2,
2001-07,0.5,
2001-10,-0.5,
2002-01,0.8,
2002-04,0.1,
2002-07,0.0,
2002-10,-1.3,
2003-01,-0.1,
2003-04,0.1,
2003-07,0.2,
2003-10,0.0,
2004-01,-0.1,
2004-04,-0.4,
2004-07,0.1,
2004-10,-0.1,
2005-01,0.1,
2005-04,-0.1,
2005-07,1.1,
2005-10,-0.7,
2006-01,3.2,
2006-04,-2.3,
2006-07,1.5,
2006-10,0.6,
2007-01,-4.1,
2007-04,1.5,
2007-07,-1.1,
2007-10,1.0,
2008-01,-1.7,
2008-04,-4.0,
2008-07,-1.9,
2008-10,-7.6,
2009-01,0.8,
2009-04,1.1,
2009-07,0.2,
2009-10,2.0,
2010-01,1.1,
2010-04,1.7,
2010-07,-0.1,
2010-10,0.6,
2011-01,0.1,
2011-04,2.4,
2011-07,-1.6,
2011-10,1.4,
2012-01,0.7,
2012-04,0.0,
2012-07,1.0,
2012-10,4.7,
2013-01,3.9,
2013-04,-1.2,
2013-07,3.7,
2013-10,0.9,
2014-01,2.3,
2014-04,0.8,
2014-07,1.8,
