"",BBK01.CEBW05,BBK01.CEBW05_FLAGS
"",Claims from company pension commitments debtor: Insurance corporations                          creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:51,
1991-01,5.5,
1991-04,5.6,
1991-07,5.7,
1991-10,5.7,
1992-01,5.8,
1992-04,6.0,
1992-07,6.1,
1992-10,6.2,
1993-01,6.3,
1993-04,6.3,
1993-07,6.3,
1993-10,6.4,
1994-01,6.5,
1994-04,6.6,
1994-07,6.6,
1994-10,6.7,
1995-01,6.8,
1995-04,6.8,
1995-07,6.9,
1995-10,7.0,
1996-01,7.0,
1996-04,7.0,
1996-07,7.1,
1996-10,7.1,
1997-01,7.1,
1997-04,7.2,
1997-07,7.2,
1997-10,7.2,
1998-01,7.3,
1998-04,7.4,
1998-07,7.4,
1998-10,7.5,
1999-01,7.5,
1999-04,7.6,
1999-07,7.6,
1999-10,7.7,
2000-01,7.9,
2000-04,8.0,
2000-07,8.2,
2000-10,8.4,
2001-01,8.6,
2001-04,8.7,
2001-07,8.9,
2001-10,9.0,
2002-01,9.3,
2002-04,9.6,
2002-07,9.8,
2002-10,10.1,
2003-01,10.2,
2003-04,10.4,
2003-07,10.5,
2003-10,10.6,
2004-01,10.8,
2004-04,11.0,
2004-07,11.1,
2004-10,11.3,
2005-01,11.4,
2005-04,11.6,
2005-07,11.7,
2005-10,11.8,
2006-01,12.0,
2006-04,12.2,
2006-07,12.4,
2006-10,12.6,
2007-01,12.7,
2007-04,12.7,
2007-07,12.8,
2007-10,12.8,
2008-01,12.9,
2008-04,13.1,
2008-07,13.2,
2008-10,13.3,
2009-01,13.5,
2009-04,13.6,
2009-07,13.7,
2009-10,13.8,
2010-01,13.9,
2010-04,14.0,
2010-07,14.1,
2010-10,14.2,
2011-01,14.3,
2011-04,14.5,
2011-07,14.6,
2011-10,14.7,
2012-01,14.8,
2012-04,14.9,
2012-07,15.0,
2012-10,15.1,
2013-01,15.2,
2013-04,15.3,
2013-07,15.4,
2013-10,15.5,
2014-01,15.6,
