"",BBEX3.A.AWG.USD.CA.AA.A04,BBEX3.A.AWG.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Aruba / USD 1 = AWG ... (buying),
unit,AWG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:47,
1988,1.78,
1989,1.78,
1990,1.78,
1991,1.78,
1992,1.78,
1993,1.78,
1994,1.78,
1995,1.78,
1996,1.78,
1997,1.78,
1998,1.78,
1999,1.78,
2000,1.78,
2001,1.78,
2002,1.78,
2003,1.78,
2004,1.78,
2005,1.78,
2006,1.78,
2007,1.78,
2008,1.78,
2009,1.78,
2010,1.78,
2011,1.78,
2012,1.78,
2013,1.78,
2014,1.78,
"",General: The Aruban florin is pegged to the US dollar.,
"","Source: Centrale Bank van Aruba, Oranjestad.",
