"",BBXS1.Q.I7.S.EUBUCS.MANU.MAN013.TT.PCT.I00,BBXS1.Q.I7.S.EUBUCS.MANU.MAN013.TT.PCT.I00_FLAGS
"",Business and consumer surveys (European Commission) / Capacity utilization (man) / Seasonally adjusted only / Euro area 18 (fixed composition),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:36,
1985-01,79.2,
1985-04,80.2,
1985-07,80.5,
1985-10,80.8,
1986-01,81.0,
1986-04,81.2,
1986-07,81.4,
1986-10,81.4,
1987-01,81.3,
1987-04,81.2,
1987-07,81.0,
1987-10,81.2,
1988-01,81.7,
1988-04,81.5,
1988-07,82.6,
1988-10,83.4,
1989-01,84.5,
1989-04,84.5,
1989-07,85.0,
1989-10,85.3,
1990-01,85.2,
1990-04,85.3,
1990-07,85.2,
1990-10,85.2,
1991-01,84.6,
1991-04,84.0,
1991-07,83.1,
1991-10,82.9,
1992-01,82.1,
1992-04,81.9,
1992-07,81.0,
1992-10,79.1,
1993-01,78.2,
1993-04,78.2,
1993-07,76.9,
1993-10,77.3,
1994-01,78.6,
1994-04,79.5,
1994-07,80.7,
1994-10,81.9,
1995-01,82.5,
1995-04,83.0,
1995-07,82.9,
1995-10,82.5,
1996-01,81.1,
1996-04,80.5,
1996-07,80.2,
1996-10,80.0,
1997-01,80.9,
1997-04,81.7,
1997-07,82.3,
1997-10,83.1,
1998-01,83.5,
1998-04,83.9,
1998-07,83.8,
1998-10,83.0,
1999-01,82.3,
1999-04,82.1,
1999-07,82.4,
1999-10,83.1,
2000-01,83.8,
2000-04,84.2,
2000-07,84.5,
2000-10,84.9,
2001-01,84.6,
2001-04,83.7,
2001-07,82.7,
2001-10,81.8,
2002-01,81.3,
2002-04,81.1,
2002-07,81.6,
2002-10,81.7,
2003-01,81.3,
2003-04,80.9,
2003-07,81.2,
2003-10,81.7,
2004-01,81.3,
2004-04,81.3,
2004-07,81.8,
2004-10,81.8,
2005-01,81.9,
2005-04,81.3,
2005-07,81.3,
2005-10,81.5,
2006-01,82.0,
2006-04,83.1,
2006-07,83.8,
2006-10,84.1,
2007-01,84.3,
2007-04,85.0,
2007-07,84.7,
2007-10,84.5,
2008-01,84.4,
2008-04,83.9,
2008-07,83.0,
2008-10,81.5,
2009-01,74.7,
2009-04,70.1,
2009-07,69.4,
2009-10,70.7,
2010-01,72.3,
2010-04,75.9,
2010-07,77.6,
2010-10,78.3,
2011-01,80.4,
2011-04,81.7,
2011-07,80.7,
2011-10,79.9,
2012-01,80.0,
2012-04,80.1,
2012-07,78.2,
2012-10,77.2,
2013-01,77.6,
2013-04,77.5,
2013-07,78.3,
2013-10,78.4,
2014-01,80.1,
2014-04,79.5,
2014-07,79.9,
2014-10,80.0,
"",Source: European Commision - Directorate-General for Economic and Financial Affairs (DG ECFIN),
"","Methodology: Data are collected at the beginning of the quarters.  / The consideration of the results of the several member states is fully retrospective according each existing time series for all countries of the aggregate.  / Aggregates are calculated as weighted averages of the country-aggregate replies. The weights are annually calculated in august: The country weights of the year t are calculated from the weights of year t and the weights of the year before (t-1).  / Reference time series of the weights: gross value added (bn EUR) at constant prices (2005), industry excluding building and construction.",
