"",BBFN1.M.DE.N.1.A.LI.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LI.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1995-11,0.000,
1995-12,0.205,
1996-01,0.205,
1996-02,0.205,
1996-03,0.205,
1996-04,0.205,
1996-05,0.153,
1996-06,0.169,
1996-07,0.172,
1996-08,0.174,
1996-09,0.180,
1996-10,0.186,
1996-11,0.186,
1996-12,0.183,
1997-01,0.190,
1997-02,0.283,
1997-03,0.295,
1997-04,0.237,
1997-05,0.308,
1997-06,0.315,
1997-07,0.284,
1997-08,0.284,
1997-09,0.287,
1997-10,0.280,
1997-11,0.288,
1997-12,0.286,
1998-01,0.217,
1998-02,0.213,
1998-03,0.219,
1998-04,0.224,
1998-05,0.220,
1998-06,0.227,
1998-07,0.197,
1998-08,0.297,
1998-09,0.342,
1998-10,0.479,
1998-11,0.485,
1998-12,0.497,
1999-01,0.413,
1999-02,0.422,
1999-03,0.427,
1999-04,0.130,
1999-05,0.205,
1999-06,0.125,
1999-07,0.107,
1999-08,0.110,
1999-09,0.107,
1999-10,0.112,
1999-11,0.111,
1999-12,0.135,
2000-01,0.095,
2000-02,0.098,
2000-03,0.109,
2000-04,0.108,
2000-05,0.118,
2000-06,0.114,
2000-07,0.079,
2000-08,0.086,
2000-09,0.092,
2000-10,0.094,
2000-11,0.094,
2000-12,0.111,
2001-01,0.109,
2001-02,0.103,
2001-03,0.088,
2001-04,0.094,
2001-05,0.095,
2001-06,0.139,
2001-07,0.109,
2001-08,0.112,
2001-09,0.111,
2001-10,0.115,
2001-11,0.187,
2001-12,0.174,
2002-01,0.200,
2002-02,0.195,
2002-03,0.142,
2002-04,0.126,
2002-05,0.129,
2002-06,0.128,
2002-07,0.127,
2002-08,0.170,
2002-09,0.169,
2002-10,0.206,
2002-11,0.206,
2002-12,0.195,
2003-01,0.182,
2003-02,0.198,
2003-03,0.186,
2003-04,0.168,
2003-05,0.164,
2003-06,0.173,
2003-07,0.188,
2003-08,0.182,
2003-09,0.184,
2003-10,0.179,
2003-11,0.179,
2003-12,0.434,
2004-01,0.184,
2004-02,0.191,
2004-03,0.161,
2004-04,0.190,
2004-05,0.194,
2004-06,0.187,
2004-07,0.209,
2004-08,0.210,
2004-09,0.216,
2004-10,0.212,
2004-11,0.212,
2004-12,0.213,
2005-01,0.213,
2005-02,0.215,
2005-03,0.213,
2005-04,0.166,
2005-05,0.165,
2005-06,0.167,
2005-07,0.164,
2005-08,0.165,
2005-09,0.274,
2005-10,0.274,
2005-11,0.275,
2005-12,0.190,
2006-01,0.158,
2006-02,0.138,
2006-03,0.136,
2006-04,0.136,
2006-05,0.101,
2006-06,0.100,
2006-07,0.100,
2006-08,0.101,
2006-09,0.045,
2006-10,0.044,
2006-11,0.045,
2006-12,0.061,
2007-01,0.058,
2007-02,0.061,
2007-03,0.062,
2007-04,0.062,
2007-05,0.067,
2007-06,0.068,
2007-07,0.068,
2007-08,0.066,
2007-09,0.066,
2007-10,0.066,
2007-11,0.092,
2007-12,0.091,
2008-01,0.093,
2008-02,0.095,
2008-03,0.098,
2008-04,0.099,
2008-05,0.093,
2008-06,0.091,
2008-07,0.187,
2008-08,0.097,
2008-09,0.097,
2008-10,0.095,
2008-11,0.090,
2008-12,0.088,
2009-01,0.094,
2009-02,0.094,
2009-03,0.092,
2009-04,0.095,
2009-05,0.097,
2009-06,0.098,
2009-07,0.099,
2009-08,0.107,
2009-09,0.089,
2009-10,0.089,
2009-11,0.091,
2009-12,0.053,
2010-01,0.053,
2010-02,0.055,
2010-03,0.055,
2010-04,0.056,
2010-05,0.054,
2010-06,0.057,
2010-07,0.057,
2010-08,0.057,
2010-09,0.065,
2010-10,0.057,
2010-11,0.078,
2010-12,0.046,
2011-01,0.053,
2011-02,0.051,
2011-03,0.056,
2011-04,0.057,
2011-05,0.060,
2011-06,0.068,
2011-07,0.061,
2011-08,0.062,
2011-09,0.061,
2011-10,0.065,
2011-11,0.112,
2011-12,0.168,
2012-01,0.171,
2012-02,0.177,
2012-03,0.179,
2012-04,0.194,
2012-05,0.188,
2012-06,0.188,
2012-07,0.196,
2012-08,0.318,
2012-09,0.306,
2012-10,0.303,
2012-11,0.301,
2012-12,0.305,
2013-01,0.313,
2013-02,0.313,
2013-03,0.333,
2013-04,0.340,
2013-05,0.323,
2013-06,0.328,
2013-07,0.478,
2013-08,0.497,
2013-09,0.476,
2013-10,0.485,
2013-11,0.481,
2013-12,0.445,
2014-01,0.437,
2014-02,0.449,
2014-03,0.433,
2014-04,0.451,
2014-05,0.447,
2014-06,0.434,
2014-07,0.445,
2014-08,0.442,
2014-09,0.449,
2014-10,0.447,
2014-11,0.469,
2014-12,0.463,
