"",BBK01.TZ1383,BBK01.TZ1383_FLAGS
"",Credit to non-financial corporations / Loans / All maturities / Domestic / Financial transactions (flows) / Seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:30,
1999-01,-7.3,
1999-02,-1.7,
1999-03,-3.7,
1999-04,-1.1,
1999-05,-0.5,
1999-06,9.9,
1999-07,1.8,
1999-08,-0.6,
1999-09,4.7,
1999-10,5.1,
1999-11,3.3,
1999-12,8.7,
2000-01,6.3,
2000-02,6.0,
2000-03,4.3,
2000-04,5.2,
2000-05,3.9,
2000-06,2.2,
2000-07,-1.5,
2000-08,5.7,
2000-09,6.0,
2000-10,2.5,
2000-11,2.9,
2000-12,2.9,
2001-01,2.4,
2001-02,4.3,
2001-03,6.5,
2001-04,-3.2,
2001-05,4.3,
2001-06,1.5,
2001-07,0.0,
2001-08,-0.2,
2001-09,2.3,
2001-10,1.5,
2001-11,0.8,
2001-12,3.6,
2002-01,-2.6,
2002-02,-0.1,
2002-03,3.3,
2002-04,0.3,
2002-05,-0.8,
2002-06,-4.2,
2002-07,1.2,
2002-08,-1.2,
2002-09,-1.8,
2002-10,-0.2,
2002-11,-3.9,
2002-12,-2.3,
2003-01,2.0,
2003-02,-3.5,
2003-03,-1.8,
2003-04,-1.2,
2003-05,-1.3,
2003-06,0.3,
2003-07,-2.3,
2003-08,-0.2,
2003-09,-0.4,
2003-10,-1.4,
2003-11,1.1,
2003-12,0.4,
2004-01,-2.3,
2004-02,0.3,
2004-03,0.0,
2004-04,-1.4,
2004-05,0.6,
2004-06,-3.4,
2004-07,-2.1,
2004-08,-0.5,
2004-09,-2.5,
2004-10,-1.5,
2004-11,1.1,
2004-12,-4.4,
2005-01,-1.2,
2005-02,0.3,
2005-03,-0.7,
2005-04,-1.3,
2005-05,0.4,
2005-06,-0.9,
2005-07,1.3,
2005-08,-3.6,
2005-09,5.0,
2005-10,-0.6,
2005-11,-4.4,
2005-12,0.7,
2006-01,2.7,
2006-02,-2.2,
2006-03,1.0,
2006-04,3.5,
2006-05,-0.7,
2006-06,3.7,
2006-07,4.4,
2006-08,-2.7,
2006-09,3.3,
2006-10,-0.6,
2006-11,0.8,
2006-12,-1.6,
2007-01,3.3,
2007-02,-0.6,
2007-03,0.8,
2007-04,0.5,
2007-05,3.4,
2007-06,-0.2,
2007-07,3.8,
2007-08,7.3,
2007-09,4.2,
2007-10,0.6,
2007-11,4.5,
2007-12,18.8,
2008-01,1.7,
2008-02,6.3,
2008-03,5.0,
2008-04,5.1,
2008-05,3.3,
2008-06,2.9,
2008-07,2.1,
2008-08,4.4,
2008-09,1.7,
2008-10,6.7,
2008-11,1.0,
2008-12,10.3,
2009-01,0.2,
2009-02,-3.6,
2009-03,-0.6,
2009-04,-2.2,
2009-05,-0.3,
2009-06,-5.1,
2009-07,-3.3,
2009-08,-0.5,
2009-09,-3.0,
2009-10,-3.9,
2009-11,-3.5,
2009-12,-2.1,
2010-01,1.0,
2010-02,-1.6,
2010-03,-4.2,
2010-04,-1.5,
2010-05,3.2,
2010-06,-0.6,
2010-07,-1.9,
2010-08,-1.1,
2010-09,-0.2,
2010-10,2.2,
2010-11,0.6,
2010-12,0.8,
2011-01,1.7,
2011-02,4.4,
2011-03,1.3,
2011-04,-2.1,
2011-05,0.4,
2011-06,-0.3,
2011-07,1.2,
2011-08,0.1,
2011-09,1.4,
2011-10,3.2,
2011-11,0.7,
2011-12,-1.5,
2012-01,4.1,
2012-02,0.7,
2012-03,1.0,
2012-04,1.3,
2012-05,2.1,
2012-06,0.8,
2012-07,4.0,
2012-08,0.2,
2012-09,0.9,
2012-10,-0.7,
2012-11,1.4,
2012-12,-2.1,
2013-01,-0.2,
2013-02,0.9,
2013-03,2.1,
2013-04,-2.6,
2013-05,0.5,
2013-06,-1.0,
2013-07,-0.1,
2013-08,-0.3,
2013-09,-1.8,
2013-10,1.6,
2013-11,0.6,
2013-12,1.5,
2014-01,0.0,
2014-02,-1.0,
2014-03,0.1,
2014-04,3.7,
2014-05,2.2,
2014-06,-0.2,
2014-07,-1.1,
2014-08,1.8,
2014-09,-0.9,
2014-10,2.9,
2014-11,3.0,
2014-12,0.6,Provisional value
2015-01,3.3,
